Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
11,6,4,3,16,16,6,4,15,14,6,0,7,2,8,17,16,32,6,20,24,7,5,16,6,6,17,3,10,9,8,20,14,15,4,12,9,8,22,4,5,22,2,6,20,28,36,4,14,18,15,19,5,10,5,15,16,10,8,9,14,4,8,14,25,16,8,10,4,16,8,16,6,10,13,7,6,6,10,13,25,6,11,7,8,5,4,18,10,9
12,2,5,10,20,22,2,4,12,12,9,7,0,6,2,24,23,38,4,26,24,5,8,16,8,9,24,4,3,15,14,24,11,13,4,6,2,14,26,5,3,18,5,2,17,33,44,10,12,12,22,26,4,9,9,12,23,17,3,16,20,4,14,12,22,22,14,9,4,20,2,13,6,7,11,10,13,2,4,10,22,7,4,2,4,9,4,24,7,6
13,4,3,4,16,18,5,2,14,14,8,2,6,0,6,18,17,34,6,22,24,6,5,16,5,6,19,2,8,10,9,21,14,15,2,11,8,9,23,3,3,22,2,4,18,28,40,5,14,17,17,19,5,10,6,14,17,11,7,10,15,2,10,14,25,18,9,10,3,15,7,15,4,10,12,8,8,4,9,13,26,4,9,5,6,6,2,19,8,8
14,2,6,11,20,24,3,5,10,11,10,8,2,6,0,24,24,40,5,27,23,6,8,17,8,10,26,5,2,16,16,24,10,12,4,7,2,15,26,6,4,18,6,3,17,35,46,10,10,11,22,24,5,9,10,12,24,16,4,16,21,4,16,11,22,24,15,9,4,20,2,12,7,8,10,10,14,2,4,10,23,7,4,3,3,9,4,25,6,5
15,23,20,14,16,6,22,20,21,32,24,17,24,18,24,0,2,15,20,4,24,18,16,16,16,15,2,20,26,8,10,21,20,27,21,28,26,9,24,19,20,20,18,22,18,12,20,13,19,34,2,2,20,15,14,14,6,8,24,8,4,20,9,30,25,2,10,15,20,15,24,15,22,27,15,23,11,23,26,15,26,22,27,24,23,16,21,1,21,20
16,22,19,13,14,4,22,18,19,29,23,16,23,17,24,2,0,16,19,4,23,18,16,14,14,15,2,19,25,8,8,24,19,27,19,28,25,10,24,20,21,18,18,20,17,12,22,13,18,33,1,3,19,14,15,12,5,7,24,7,6,19,8,28,24,0,9,14,20,14,23,14,22,28,14,23,11,21,27,16,23,22,27,22,23,14,20,2,20,18
17,38,36,28,26,18,39,35,35,44,39,32,38,34,40,15,16,0,36,12,35,34,30,26,30,30,13,36,41,24,24,21,33,41,35,43,41,23,23,36,36,32,33,36,32,4,7,28,33,49,16,14,32,28,31,28,18,22,40,22,19,34,22,46,40,15,24,30,33,27,38,31,36,41,29,38,24,37,40,29,35,37,40,36,39,30,34,14,36,35
18,3,8,7,16,18,5,5,8,10,12,6,4,6,5,20,19,36,0,23,21,2,10,12,4,11,20,4,7,11,10,26,8,10,5,9,6,14,28,8,4,15,7,4,14,31,41,7,8,15,18,21,1,5,11,9,19,13,6,12,17,5,11,11,20,20,10,5,3,16,5,10,9,10,7,13,9,3,8,8,21,10,8,5,5,11,5,21,4,4
19,24,24,17,17,7,26,24,23,34,25,20,26,22,27,4,4,12,23,0,23,21,19,16,19,18,3,24,28,12,12,21,24,31,23,30,30,12,21,24,25,20,23,25,19,9,17,18,23,38,5,2,23,19,19,16,7,11,28,12,7,23,11,32,26,4,13,18,24,16,29,20,25,29,18,26,15,26,30,19,26,26,30,25,28,18,24,3,24,24
20,24,27,25,8,17,24,24,21,31,30,24,24,24,23,24,23,35,21,23,0,18,29,9,20,29,21,23,27,20,25,46,20,28,23,29,25,32,48,25,23,16,26,22,7,34,32,24,20,34,23,24,20,16,30,13,17,22,25,26,27,24,27,32,23,22,25,15,21,8,26,16,26,29,15,30,25,22,28,16,2,28,28,24,25,29,23,23,20,21
21,4,9,8,16,18,6,6,8,12,14,7,5,6,6,18,18,34,2,21,18,0,11,10,3,12,19,6,8,10,10,26,7,9,6,11,7,14,29,9,5,15,8,5,13,28,38,8,8,16,17,20,2,4,12,8,18,11,6,11,16,6,10,12,20,17,10,4,4,15,6,9,10,11,6,13,8,4,9,7,20,10,10,6,6,12,6,19,3,2
22,8,5,4,19,14,8,6,18,19,8,5,8,5,8,16,16,30,10,19,29,11,0,20,10,1,16,6,11,9,7,16,17,19,5,12,10,6,18,4,6,26,4,6,24,28,37,4,18,19,15,18,10,14,1,20,14,8,10,8,12,5,7,18,29,15,6,15,8,20,9,19,7,12,17,8,5,9,12,18,32,7,12,8,11,1,5,17,13,13
23,14,18,18,5,9,15,15,12,22,22,16,16,16,17,16,14,26,12,16,9,10,20,0,11,21,13,14,18,12,19,37,12,20,15,21,18,22,37,18,15,7,18,15,4,26,30,16,12,26,15,16,12,7,20,4,9,14,17,18,18,16,18,22,16,14,17,7,12,4,17,8,20,20,7,22,17,14,20,8,10,20,21,15,16,21,16,15,13,12
24,7,7,7,13,15,8,4,9,15,12,6,8,5,8,16,14,30,4,19,20,3,10,11,0,11,17,4,12,7,7,26,9,13,5,13,10,13,28,7,6,16,7,6,14,26,34,6,8,19,14,16,4,6,10,10,14,9,9,8,12,5,9,14,22,15,7,5,5,12,9,10,9,12,8,11,6,7,12,8,20,9,13,8,9,10,5,17,6,4
25,10,6,4,21,15,8,6,19,20,8,6,9,6,10,15,15,30,11,18,29,12,1,21,11,0,17,7,11,9,6,16,19,20,6,14,10,6,18,5,7,27,4,7,24,25,36,5,20,20,14,16,10,15,1,21,14,8,10,7,12,6,7,20,32,15,6,16,9,22,10,21,7,12,18,9,5,9,13,18,30,7,12,8,12,1,6,16,14,14
26,22,20,14,13,4,24,21,20,31,23,17,24,19,26,2,2,13,20,3,21,19,16,13,17,17,0,20,28,9,10,23,21,29,21,29,27,11,26,20,22,19,20,23,16,12,20,15,20,35,3,3,21,16,16,13,4,8,26,9,6,21,9,31,26,2,10,15,22,14,26,17,22,27,16,24,12,23,27,16,24,24,28,24,26,16,22,2,23,21
27,2,4,6,16,18,4,1,13,12,8,3,4,2,5,20,19,36,4,24,23,6,6,14,4,7,20,0,7,11,10,22,12,14,1,10,6,10,24,4,2,21,3,2,18,32,39,7,12,15,19,22,4,10,6,14,19,13,6,11,16,1,12,14,25,20,10,9,2,16,5,14,5,8,12,8,9,3,8,12,26,6,8,4,5,7,1,20,8,8
28,5,8,13,24,26,4,7,9,9,12,10,3,8,2,26,25,41,7,28,27,8,11,18,12,11,28,7,0,18,17,25,9,10,6,9,1,18,29,8,6,16,8,5,21,38,49,13,8,8,25,26,7,11,12,15,26,20,6,17,22,6,17,10,20,26,17,11,6,22,3,11,8,10,12,12,15,4,4,11,25,10,3,4,2,12,6,26,6,7
29,14,12,6,12,8,14,12,12,23,15,9,15,10,16,8,8,24,11,12,20,10,9,12,7,9,9,11,18,0,6,24,12,19,12,20,17,12,26,12,13,18,10,13,16,20,29,6,12,26,7,10,11,6,9,10,8,3,16,6,7,12,7,22,22,8,6,6,12,12,17,12,14,19,9,14,5,14,20,9,23,14,19,14,16,10,12,10,12,12
30,14,12,5,18,9,14,10,16,22,14,8,14,9,16,10,8,24,10,12,25,10,7,19,7,6,10,10,17,6,0,19,16,19,12,19,16,6,20,11,12,23,10,13,20,21,30,5,16,26,8,11,10,12,6,18,9,4,16,1,6,12,1,21,28,8,1,13,12,19,15,17,14,19,16,14,2,13,19,15,28,14,18,14,16,6,11,10,12,11
31,24,18,19,35,26,22,22,34,35,17,20,24,21,24,21,24,21,26,21,46,26,16,37,26,16,23,22,25,24,19,0,33,36,21,21,25,13,2,19,22,41,19,22,39,18,28,19,36,32,22,20,25,32,15,36,27,22,20,19,18,22,17,36,45,23,20,30,25,35,24,36,18,20,33,16,20,26,24,34,48,18,22,22,26,16,22,21,30,29
32,11,16,15,16,19,14,13,0,11,19,14,11,14,10,20,19,33,8,24,20,7,17,12,9,19,21,12,9,12,16,33,0,8,13,17,10,21,34,15,13,8,15,12,14,30,39,16,0,15,19,22,9,5,18,8,20,13,13,16,16,13,17,11,13,20,16,5,10,16,12,4,17,18,6,20,14,10,12,5,20,17,12,13,8,18,14,21,5,6
33,12,18,16,24,27,14,14,8,3,22,15,13,15,12,27,27,41,10,31,28,9,19,20,13,20,29,14,10,19,19,36,8,0,14,19,11,22,38,18,14,13,16,14,21,37,49,16,8,8,27,29,11,14,20,16,26,20,15,19,25,15,20,3,10,26,18,13,12,23,14,12,20,20,14,22,17,12,14,12,27,18,13,14,10,21,15,29,7,9
34,3,3,6,16,20,3,1,14,14,7,4,4,2,4,21,19,35,5,23,23,6,5,15,5,6,21,1,6,12,12,21,13,14,0,9,6,11,24,3,1,20,2,2,18,32,41,6,13,15,18,22,4,10,6,15,19,12,5,12,18,0,12,14,26,20,11,10,3,17,4,15,4,8,12,7,9,4,7,13,24,4,8,4,6,6,0,21,9,8
35,7,8,14,24,28,6,9,17,18,6,12,6,11,7,28,28,43,9,30,29,11,12,21,13,14,29,10,9,20,19,21,17,19,9,0,8,20,22,8,8,24,10,7,23,39,47,14,18,14,27,29,9,14,13,18,29,21,4,20,24,9,20,18,29,28,20,14,8,24,6,18,7,2,17,6,18,8,6,17,28,6,6,6,10,14,8,29,12,12
36,4,7,11,21,24,4,6,10,10,11,9,2,8,2,26,25,41,6,30,25,7,10,18,10,10,27,6,1,17,16,25,10,11,6,8,0,15,28,6,5,17,7,4,20,37,44,12,10,10,25,27,6,11,11,13,24,18,5,17,21,6,17,10,22,24,16,10,6,23,2,11,8,9,12,11,15,4,3,10,26,8,3,4,2,11,6,25,5,6
37,13,11,7,24,14,14,11,21,22,14,8,14,9,15,9,10,23,14,12,32,14,6,22,13,6,11,10,18,12,6,13,21,22,11,20,15,0,15,11,12,29,10,12,28,20,30,7,21,24,10,11,13,19,6,24,14,9,16,6,7,11,5,22,32,10,7,19,12,24,14,22,12,17,20,14,7,12,18,21,33,13,18,14,16,6,12,10,16,16
38,24,20,22,39,29,24,23,36,36,16,22,26,23,26,24,24,23,28,21,48,29,18,37,28,18,26,24,29,26,20,2,34,38,24,22,28,15,0,20,24,44,20,24,42,18,28,21,37,32,24,21,28,32,18,39,28,24,23,21,18,24,20,37,47,24,22,34,25,36,25,38,20,20,33,16,22,26,23,37,46,19,24,23,27,17,23,24,30,31
39,6,0,6,18,19,4,4,16,16,5,4,5,3,6,19,20,36,8,24,25,9,4,18,7,5,20,4,8,12,11,19,15,18,3,8,6,11,20,0,4,22,2,4,21,32,39,7,15,15,19,22,7,12,6,17,19,12,5,12,17,3,12,17,26,19,10,13,6,18,5,18,2,7,15,5,9,6,8,16,28,3,8,3,8,5,3,20,12,11
40,2,4,7,17,20,2,2,13,14,8,5,3,3,4,20,21,36,4,25,23,5,6,15,6,7,22,2,6,13,12,22,13,14,1,8,5,12,24,4,0,21,3,1,18,32,41,8,13,14,19,23,4,9,7,13,21,14,4,13,18,1,13,13,25,20,12,9,2,18,4,14,5,6,12,8,10,3,7,13,24,6,7,2,5,6,1,22,8,8
41,18,23,23,12,15,21,20,8,16,28,22,18,22,18,20,18,32,15,20,16,15,26,7,16,27,19,21,16,18,23,41,8,13,20,24,17,29,44,22,21,0,23,20,8,30,37,23,8,20,20,22,17,12,25,7,15,19,20,23,25,20,24,16,9,19,23,11,18,12,19,6,24,24,9,28,23,17,19,8,14,25,19,20,15,26,20,21,12,13
42,6,2,5,17,19,4,3,15,16,5,2,5,2,6,18,18,33,7,23,26,8,4,18,7,4,20,3,8,10,10,19,15,16,2,10,7,10,20,2,3,23,0,4,22,31,39,6,15,16,17,20,6,12,4,16,17,12,6,11,15,2,10,16,27,18,10,12,5,17,6,16,4,9,15,5,8,6,9,15,27,4,9,5,8,4,2,20,11,11
43,2,4,8,17,20,2,2,12,12,8,6,2,4,3,22,20,36,4,25,22,5,6,15,6,7,23,2,5,13,13,22,12,14,2,7,4,12,24,4,1,20,4,0,18,32,44,8,13,14,20,23,3,9,7,14,21,14,4,13,18,2,14,12,25,21,13,8,2,18,4,14,5,6,11,8,11,3,6,12,24,6,6,2,5,7,2,23,8,7
44,16,20,20,4,13,18,19,14,24,27,20,17,18,17,18,17,32,14,19,7,13,24,4,14,24,16,18,21,16,20,39,14,21,18,23,20,28,42,21,18,8,22,18,0,27,28,20,14,28,18,19,15,9,23,6,14,18,20,20,22,19,21,24,18,18,21,10,16,4,18,9,23,24,8,26,21,16,22,9,7,23,22,18,18,24,19,19,15,14
45,34,32,25,25,16,35,32,32,41,35,28,33,28,35,12,12,4,31,9,34,28,28,26,26,25,12,32,38,20,21,18,30,37,32,39,37,20,18,32,32,30,31,32,27,0,10,24,31,46,12,10,31,26,26,24,15,19,37,18,14,33,19,43,34,12,22,26,30,26,35,27,34,39,26,33,22,34,40,27,34,33,38,33,34,26,32,11,32,30
46,44,39,33,25,22,44,42,42,51,44,36,44,40,46,20,22,7,41,17,32,38,37,30,34,36,20,39,49,29,30,28,39,49,41,47,44,30,28,39,41,37,39,44,28,10,0,36,39,56,23,20,38,36,37,33,21,29,45,29,24,41,28,52,46,21,31,35,40,24,43,38,42,46,35,43,32,43,46,35,35,42,46,43,44,37,42,20,42,42
47,8,7,1,17,13,10,6,14,16,10,4,10,5,10,13,13,28,7,18,24,8,4,16,6,5,15,7,13,6,5,19,16,16,6,14,12,7,21,7,8,23,6,8,20,24,36,0,14,20,13,16,6,11,4,15,13,6,11,6,10,7,5,17,25,12,4,11,7,17,11,16,8,14,13,10,3,9,13,15,27,9,15,10,11,4,7,15,10,10
48,10,16,16,16,18,13,13,0,11,21,14,12,14,10,19,18,33,8,23,20,8,18,12,8,20,20,12,8,12,16,36,0,8,13,18,10,21,37,15,13,8,15,13,14,31,39,14,0,16,18,22,9,5,19,8,19,13,14,15,18,13,17,10,12,18,16,5,11,17,12,4,17,18,6,19,16,10,12,5,20,18,12,13,8,18,13,21,5,6
49,14,15,20,32,34,12,16,15,5,18,18,12,17,11,34,33,49,15,38,34,16,19,26,19,20,35,15,8,26,26,32,15,8,15,14,10,24,32,15,14,20,16,14,28,46,56,20,16,0,32,35,15,20,20,23,34,27,11,27,30,14,28,5,15,35,26,19,14,31,10,19,14,16,20,17,24,13,8,19,32,14,9,12,10,20,14,37,14,16
50,21,20,13,14,5,21,19,18,28,22,15,22,17,22,2,1,16,18,5,23,17,15,15,14,14,3,19,25,7,8,22,19,27,18,27,25,10,24,19,19,20,17,20,18,12,23,13,18,32,0,3,18,14,14,13,5,6,24,7,6,19,7,28,23,1,8,14,18,14,23,14,20,25,13,21,9,20,27,14,25,21,25,21,22,14,18,2,19,19
51,22,22,16,16,7,24,21,22,30,24,19,26,19,24,2,3,14,21,2,24,20,18,16,16,16,3,22,26,10,11,20,22,29,22,29,27,11,21,22,23,22,20,23,19,10,20,16,22,35,3,0,20,16,16,15,7,9,27,10,5,21,10,32,25,3,11,16,21,16,26,18,22,30,16,24,13,24,29,16,25,24,29,24,25,16,22,1,23,22
52,3,7,6,17,18,4,4,10,12,12,5,4,5,5,20,19,32,1,23,20,2,10,12,4,10,21,4,7,11,10,25,9,11,4,9,6,13,28,7,4,17,6,3,15,31,38,6,9,15,18,20,0,6,10,10,18,13,6,11,16,4,11,11,21,19,10,6,2,17,6,10,8,9,8,12,9,3,8,9,21,9,8,4,5,10,5,19,4,4
53,8,13,12,11,14,10,9,5,16,17,10,9,10,9,15,14,28,5,19,16,4,14,7,6,15,16,10,11,6,12,32,5,14,10,14,11,19,32,12,9,12,12,9,9,26,36,11,5,20,14,16,6,0,15,4,14,9,11,13,14,10,14,16,15,14,12,0,7,11,10,5,14,15,3,18,12,8,12,3,15,14,13,10,10,15,10,15,6,5
54,8,6,4,21,14,8,6,18,19,8,5,9,6,10,14,15,31,11,19,30,12,1,20,10,1,16,6,12,9,6,15,18,20,6,13,11,6,18,6,7,25,4,7,23,26,37,4,19,20,14,16,10,15,0,20,15,8,10,7,12,6,7,20,30,14,6,16,8,21,10,20,7,12,18,9,4,10,12,19,32,7,13,8,11,0,6,15,15,14
55,11,17,17,9,12,14,13,8,18,22,15,12,14,12,14,12,28,9,16,13,8,20,4,10,21,13,14,15,10,18,36,8,16,15,18,13,24,39,17,13,7,16,14,6,24,33,15,8,23,13,15,10,4,20,0,12,13,16,16,18,14,17,18,11,13,17,5,12,8,12,4,18,19,3,22,16,12,15,4,12,19,15,14,12,20,14,15,10,8
56,22,20,14,10,0,22,20,20,28,23,16,23,17,24,6,5,18,19,7,17,18,14,9,14,14,4,19,26,8,9,27,20,26,19,29,24,14,28,19,21,15,17,21,14,15,21,13,19,34,5,7,18,14,15,12,0,7,25,9,10,19,10,31,23,4,9,15,20,9,25,16,20,25,14,22,11,21,26,14,19,22,27,22,23,14,20,6,21,20
57,14,12,7,15,7,16,13,12,24,16,10,17,11,16,8,7,22,13,11,22,11,8,14,9,8,8,13,20,3,4,22,13,20,12,21,18,9,24,12,14,19,12,14,18,19,29,6,13,27,6,9,13,9,8,13,7,0,18,4,5,14,5,23,24,7,3,9,13,15,17,14,15,19,11,16,4,15,20,12,23,16,20,16,17,8,14,8,14,12
58,4,5,11,21,25,2,6,14,15,7,8,3,7,4,24,24,40,6,28,25,6,10,17,9,10,26,6,6,16,16,20,13,15,5,4,5,16,23,5,4,20,6,4,20,37,45,11,14,11,24,27,6,11,10,16,25,18,0,18,22,5,17,14,24,25,16,10,5,22,2,15,4,5,12,6,14,4,3,13,26,4,3,2,6,10,5,27,10,9
59,14,12,6,18,8,14,12,16,21,15,9,16,10,16,8,7,22,12,12,26,11,8,18,8,7,9,11,17,6,1,19,16,19,12,20,17,6,21,12,13,23,11,13,20,18,29,6,15,27,7,10,11,13,7,16,9,4,18,0,5,12,2,22,28,8,2,12,12,18,17,18,14,18,15,16,3,14,20,15,27,14,20,15,17,7,13,10,13,12
60,19,18,11,20,10,20,16,16,27,19,14,20,15,21,4,6,19,17,7,27,16,12,18,12,12,6,16,22,7,6,18,16,25,18,24,21,7,18,17,18,25,15,18,22,14,24,10,18,30,6,5,16,14,12,18,10,5,22,5,0,18,6,26,30,6,6,14,16,19,22,19,18,24,16,20,8,19,23,16,28,19,25,20,22,12,17,4,18,17
61,3,3,6,16,20,3,1,13,14,8,4,4,2,4,20,19,34,5,23,24,6,5,16,5,6,21,1,6,12,12,22,13,15,0,9,6,11,24,3,1,20,2,2,19,33,41,7,13,14,19,21,4,10,6,14,19,14,5,12,18,0,12,13,26,19,11,10,3,16,5,14,4,7,12,8,10,4,8,13,26,5,8,3,6,6,0,20,9,8
62,14,12,6,19,10,16,12,18,22,14,8,14,10,16,9,8,22,11,11,27,10,7,18,9,7,9,12,17,7,1,17,17,20,12,20,17,5,20,12,13,24,10,14,21,19,28,5,17,28,7,10,11,14,7,17,10,5,17,2,6,12,0,23,28,8,2,13,12,19,16,18,14,20,16,15,3,14,19,17,30,14,19,15,16,7,12,9,13,12
63,11,16,17,27,28,14,13,10,0,21,14,12,14,11,30,28,46,11,32,32,12,18,22,14,20,31,14,10,22,21,36,11,3,14,18,10,22,37,17,13,16,16,12,24,43,52,17,10,5,28,32,11,16,20,18,31,23,14,22,26,13,23,0,12,30,21,16,11,26,12,15,18,19,16,21,19,11,12,16,29,18,12,13,9,19,14,30,10,12
64,22,28,26,21,23,24,25,12,11,32,25,22,25,22,25,24,40,20,26,23,20,29,16,22,32,26,25,20,22,28,45,13,10,26,29,22,32,47,26,25,9,27,25,18,34,46,25,12,15,23,25,21,15,30,11,23,24,24,28,30,26,28,12,0,24,26,16,22,21,23,10,28,30,13,32,26,21,23,12,23,29,24,24,19,29,24,26,18,18
65,22,18,13,14,5,22,18,18,28,23,16,22,18,24,2,0,15,20,4,22,17,15,14,15,15,2,20,26,8,8,23,20,26,20,28,24,10,24,19,20,19,18,21,18,12,21,12,18,35,1,3,19,14,14,13,4,7,25,8,6,19,8,30,24,0,8,14,19,14,24,14,21,26,14,22,10,21,26,15,24,22,26,22,23,14,19,2,20,19
66,12,11,5,18,9,14,10,15,21,14,8,14,9,15,10,9,24,10,13,25,10,6,17,7,6,10,10,17,6,1,20,16,18,11,20,16,7,22,10,12,23,10,13,21,22,31,4,16,26,8,11,10,12,6,17,9,3,16,2,6,11,2,21,26,8,0,12,11,18,15,17,13,18,14,14,2,12,18,16,28,13,19,14,15,6,11,11,12,10
67,8,12,11,12,14,10,9,5,16,16,10,9,10,9,15,14,30,5,18,15,4,15,7,5,16,15,9,11,6,13,30,5,13,10,14,10,19,34,13,9,11,12,8,10,26,35,11,5,19,14,16,6,0,16,5,15,9,10,12,14,10,13,16,16,14,12,0,7,11,10,6,14,14,3,17,12,7,12,3,16,14,14,9,10,16,10,15,6,5
68,2,6,6,17,20,3,2,11,11,10,4,4,3,4,20,20,33,3,24,21,4,8,12,5,9,22,2,6,12,12,25,10,12,3,8,6,12,25,6,2,18,5,2,16,30,40,7,11,14,18,21,2,7,8,12,20,13,5,12,16,3,12,11,22,19,11,7,0,17,5,12,7,8,10,10,9,2,8,10,22,7,8,4,4,8,3,21,6,6
69,18,17,18,0,9,20,17,16,26,22,16,20,15,20,15,14,27,16,16,8,15,20,4,12,22,14,16,22,12,19,35,16,23,17,24,23,24,36,18,18,12,17,18,4,26,24,17,17,31,14,16,17,11,21,8,9,15,22,18,19,16,19,26,21,14,18,11,17,0,22,13,19,24,11,22,18,19,23,12,10,20,24,18,21,21,17,16,17,16
70,3,5,11,21,25,2,5,12,12,9,8,2,7,2,24,23,38,5,29,26,6,9,17,9,10,26,5,3,17,15,24,12,14,4,6,2,14,25,5,4,19,6,4,18,35,43,11,12,10,23,26,6,10,10,12,25,17,2,17,22,5,16,12,23,24,15,10,5,22,0,13,6,7,11,9,14,3,3,11,24,6,3,2,4,10,4,25,7,7
71,12,17,16,12,16,14,15,4,14,21,16,13,15,12,15,14,31,10,20,16,9,19,8,10,21,17,14,11,12,17,36,4,12,15,18,11,22,38,18,14,6,16,14,9,27,38,16,4,19,14,18,10,5,20,4,16,14,15,18,19,14,18,15,10,14,17,6,12,13,13,0,18,20,3,21,16,11,13,2,16,19,14,14,10,20,15,18,6,7
72,7,2,8,20,22,4,5,18,18,4,6,6,4,7,22,22,36,9,25,26,10,7,20,9,7,22,5,8,14,14,18,17,20,4,7,8,12,20,2,5,24,4,5,23,34,42,8,17,14,20,22,8,14,7,18,20,15,4,14,18,4,14,18,28,21,13,14,7,19,6,18,0,5,16,4,11,8,6,17,28,1,6,5,9,8,4,23,12,12
73,8,7,13,24,27,6,8,18,18,4,10,7,10,8,27,28,41,10,29,29,11,12,20,12,12,27,8,10,19,19,20,18,20,8,2,9,17,20,7,6,24,9,6,24,39,46,14,18,16,25,30,9,15,12,19,25,19,5,18,24,7,20,19,30,26,18,14,8,24,7,20,5,0,18,4,16,9,7,18,29,5,7,6,10,13,8,27,13,13
74,10,14,14,11,14,12,12,6,15,19,13,11,12,10,15,14,29,7,18,15,6,17,7,8,18,16,12,12,9,16,33,6,14,12,17,12,20,33,15,12,9,15,11,8,26,35,13,6,20,13,16,8,3,18,3,14,11,12,15,16,12,16,16,13,14,14,3,10,11,11,3,16,18,0,20,14,9,12,1,14,16,13,12,10,18,13,15,6,5
75,10,4,10,23,22,8,8,20,21,1,7,10,8,10,23,23,38,13,26,30,13,8,22,11,9,24,8,12,14,14,16,20,22,7,6,11,14,16,5,8,28,5,8,26,33,43,10,19,17,21,24,12,18,9,22,22,16,6,16,20,8,15,21,32,22,14,17,10,22,9,21,4,4,20,0,12,11,9,20,32,3,9,8,12,9,8,24,16,16
