Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
11,10,3,2,9,15,8,8,6,10,10,0,10,10,3,7,8,10,8,14,6,8,10,3,11,10,2,10,10,5,13,7,10,7,8,13,5,3,6,10,10,12,4,8,10,12,2,9,4,6,9,2,5,15,2,10,7,7,7,10,10,3,9,8,15,7,5,8,6,18,3,7,12,6,12,11,12
12,0,8,8,18,24,5,12,4,1,0,10,0,2,8,12,5,8,5,7,9,11,0,12,7,8,8,4,0,10,8,9,8,16,12,10,5,13,8,2,10,8,11,5,0,6,8,3,8,4,8,10,8,25,12,2,4,8,16,11,4,8,2,12,5,12,6,6,8,16,13,9,3,9,2,12,5
13,2,8,9,19,26,7,12,4,2,2,10,2,0,8,11,7,8,6,6,8,11,2,12,7,8,8,5,2,10,7,10,8,16,12,10,5,12,9,0,11,7,12,7,2,5,8,4,9,4,8,9,8,25,12,3,4,9,15,13,5,8,2,13,5,12,6,7,9,18,13,10,3,10,2,11,6
14,8,1,1,12,17,6,5,4,8,8,3,8,8,0,5,6,8,6,10,4,5,8,5,9,8,1,8,8,6,12,6,8,9,5,10,3,5,4,7,8,9,6,6,8,10,1,7,4,4,7,4,2,16,4,7,4,5,8,8,8,1,7,8,13,5,3,6,3,15,5,5,10,5,9,8,10
15,12,5,6,9,14,9,1,8,11,12,7,12,11,5,0,9,4,9,8,3,0,11,5,4,4,6,11,11,10,8,11,4,8,1,6,6,5,3,11,2,4,12,10,11,6,6,10,10,7,4,10,4,14,10,11,8,10,6,12,11,5,10,13,15,1,6,9,3,18,5,10,13,10,13,4,13
16,5,6,6,16,24,0,9,3,5,5,8,5,7,6,9,0,9,0,12,6,10,6,11,10,10,6,2,6,4,12,4,9,14,10,12,3,10,6,6,8,10,9,0,5,11,6,3,4,3,8,8,5,23,10,4,3,3,14,6,2,6,5,6,7,10,4,1,7,12,11,4,5,4,6,10,4
17,8,7,8,12,17,9,4,7,8,8,10,8,8,8,4,9,0,10,4,4,4,8,8,2,1,8,7,8,14,4,13,0,10,5,3,7,8,4,8,4,2,14,10,8,3,8,6,12,7,2,12,6,17,12,7,7,12,8,14,8,8,7,15,13,5,8,10,5,20,8,12,10,12,10,4,10
18,6,6,6,16,24,0,10,3,5,5,8,5,6,6,9,0,10,0,12,6,9,6,11,10,10,6,2,6,4,12,4,9,15,10,12,3,10,7,7,9,10,8,0,5,11,7,3,5,3,8,8,5,22,9,4,3,3,14,6,2,6,5,7,7,10,4,1,7,12,11,4,5,4,6,10,4
19,7,11,11,15,22,12,8,10,7,7,14,7,6,10,8,12,4,12,0,7,8,7,11,4,5,10,10,7,15,1,16,4,13,9,7,10,10,7,6,8,4,17,12,7,1,11,10,15,10,5,16,8,21,14,8,10,14,12,18,10,11,7,19,9,8,11,13,8,22,10,16,8,15,6,8,12
20,8,4,4,12,17,6,4,5,8,8,6,9,8,4,3,6,4,6,7,0,4,8,5,6,5,4,8,8,9,8,9,4,8,4,8,4,4,1,8,4,5,10,6,8,6,4,8,8,4,3,8,2,16,8,8,4,8,8,11,8,4,7,12,14,4,4,6,1,17,5,8,10,8,10,5,11
21,12,5,6,8,15,9,1,8,12,12,8,11,11,5,0,10,4,9,8,4,0,11,5,4,4,5,11,12,11,8,11,4,8,1,6,7,5,3,11,2,5,11,10,12,7,6,11,10,8,4,10,4,13,10,10,8,9,5,12,11,5,10,13,16,1,6,9,3,19,5,10,13,10,14,4,13
22,1,8,8,20,24,6,12,4,1,0,10,0,2,8,11,6,8,6,7,8,11,0,13,8,8,9,4,0,9,8,10,8,16,12,10,6,13,9,2,11,8,10,6,1,6,9,3,9,4,8,10,8,23,12,2,4,8,16,11,4,8,2,12,5,12,6,6,8,17,13,8,3,8,2,12,5
23,12,5,5,6,12,11,5,9,13,13,3,12,12,5,5,11,8,11,11,5,5,13,0,9,8,5,13,14,8,11,10,7,4,5,11,8,0,4,12,8,8,6,11,12,10,5,11,6,9,6,5,6,12,5,12,9,10,4,12,13,5,11,10,18,5,7,11,4,21,0,10,15,9,14,8,15
24,7,8,9,12,19,10,5,8,7,7,11,7,7,9,4,10,2,10,4,6,4,8,9,0,1,9,8,8,13,4,14,2,12,5,3,8,9,6,7,4,0,14,11,7,3,9,8,12,8,3,13,7,17,12,6,8,13,10,15,9,9,6,16,12,5,9,11,6,20,8,14,9,13,9,5,10
25,8,8,8,12,17,9,4,7,8,8,10,8,8,8,4,10,1,10,5,5,4,8,8,1,0,8,8,8,14,4,13,1,10,4,3,6,8,5,8,3,1,15,10,8,4,9,7,12,8,2,13,6,17,13,8,7,13,8,14,8,8,7,16,13,4,8,10,5,20,8,13,10,13,10,4,10
26,9,1,0,11,17,7,6,5,8,9,2,8,8,1,6,6,8,6,10,4,5,9,5,9,8,0,8,8,6,12,6,8,8,6,11,4,4,4,8,8,9,6,7,9,10,0,8,4,5,7,4,3,16,4,8,5,6,8,8,8,1,7,8,12,6,3,6,4,16,5,5,10,4,10,8,10
27,3,8,8,20,24,2,11,4,3,4,10,4,5,8,11,2,7,2,10,8,11,4,13,8,8,8,0,4,6,11,6,8,16,12,10,5,12,8,5,10,9,10,2,4,9,8,2,6,4,8,9,7,25,11,2,4,5,16,8,0,8,3,8,5,12,5,3,8,13,12,6,3,6,4,11,2
28,0,8,8,20,25,6,12,4,1,0,10,0,2,8,11,6,8,6,7,8,12,0,14,8,8,8,4,0,10,8,9,8,16,12,10,5,13,9,2,11,7,12,6,1,6,8,2,8,4,8,10,8,26,12,2,4,8,17,11,4,8,2,12,5,12,6,6,9,17,13,9,2,8,2,12,5
29,10,6,5,14,20,4,11,6,8,9,5,10,10,6,10,4,14,4,15,9,11,9,8,13,14,6,6,10,0,16,2,12,11,10,16,7,8,9,11,13,14,6,4,9,15,5,7,2,6,12,4,8,18,6,8,7,2,11,5,6,6,8,3,10,10,5,4,9,12,8,2,9,2,10,13,8
30,8,11,11,16,21,13,8,10,8,8,13,8,7,12,8,12,4,12,1,8,8,8,11,4,4,12,11,8,16,0,17,4,14,8,6,10,11,8,7,7,4,18,14,8,2,12,10,16,11,5,16,10,22,15,9,10,16,13,18,11,11,8,18,8,9,12,14,8,24,11,16,8,15,7,7,13
31,10,6,6,16,22,4,10,7,8,10,7,9,10,6,11,4,13,4,16,9,11,10,10,14,13,6,6,9,2,17,0,13,14,11,16,7,10,9,10,12,14,8,4,9,15,6,7,4,6,12,6,8,22,8,8,7,2,13,3,6,6,9,3,10,10,5,4,9,12,10,1,9,1,10,13,5
32,8,7,8,12,17,9,4,6,8,8,10,8,8,8,4,9,0,9,4,4,4,8,7,2,1,8,8,8,12,4,13,0,10,4,4,6,7,4,8,3,2,14,9,8,3,8,7,12,7,2,12,6,18,12,7,7,12,8,14,7,7,6,16,13,4,8,10,5,20,8,13,10,12,10,4,10
33,16,8,8,3,9,14,8,13,17,16,7,16,16,9,8,14,10,15,13,8,8,16,4,12,10,8,16,16,11,14,14,10,0,8,13,12,4,8,17,10,12,6,15,16,12,8,15,10,13,9,7,10,8,5,16,12,13,5,16,17,9,15,14,21,8,11,14,8,24,4,13,18,12,18,11,18
34,13,5,6,7,14,10,1,8,12,12,8,12,12,5,1,10,5,10,9,4,1,12,5,5,4,6,12,12,10,8,11,4,8,0,6,7,5,4,11,2,5,12,10,12,7,6,11,10,8,4,10,5,13,10,11,8,9,5,12,12,5,11,13,17,0,6,9,4,19,5,10,15,10,14,4,14
35,10,10,11,12,16,12,6,10,10,10,13,10,10,10,6,12,3,12,7,8,6,10,11,3,3,11,10,10,16,6,16,4,13,6,0,10,11,8,10,4,3,17,12,10,6,11,10,16,10,4,15,9,15,16,10,10,16,9,19,10,11,9,18,14,6,11,13,8,23,10,16,12,16,11,3,12
36,5,3,4,14,20,3,7,2,5,6,5,5,5,3,6,3,7,3,10,4,7,6,8,8,6,4,5,5,7,10,7,6,12,7,10,0,8,4,5,6,8,8,3,5,8,4,4,6,2,5,6,2,19,6,5,2,6,12,9,5,3,4,10,10,7,2,4,4,14,8,7,7,6,7,7,7
37,13,5,5,7,12,11,5,10,13,13,3,13,12,5,5,10,8,10,10,4,5,13,0,9,8,4,12,13,8,11,10,7,4,5,11,8,0,4,13,7,9,7,10,12,10,5,12,6,10,6,5,6,12,5,12,9,10,4,12,13,5,12,10,17,5,7,10,5,20,0,9,15,9,15,8,14
38,9,4,4,10,16,7,3,5,9,9,6,8,9,4,3,6,4,7,7,1,3,9,4,6,5,4,8,9,9,8,9,4,8,4,8,4,4,0,8,4,6,10,7,9,6,4,7,8,5,3,8,2,16,8,8,5,8,8,11,9,4,8,11,14,4,4,6,1,17,4,8,12,8,10,5,11
39,2,8,8,19,26,7,12,4,2,2,10,2,0,7,11,6,8,7,6,8,11,2,12,7,8,8,5,2,11,7,10,8,17,11,10,5,13,8,0,10,7,12,7,2,5,8,4,10,4,8,10,7,25,11,3,4,10,15,12,5,8,2,13,5,12,5,8,8,19,13,10,3,9,2,11,6
40,10,7,8,9,14,9,2,8,11,10,10,10,11,8,2,8,4,9,8,4,2,11,8,4,3,8,10,11,13,7,12,3,10,2,4,6,7,4,10,0,4,13,9,11,6,8,9,12,7,3,11,5,14,12,10,7,12,6,14,10,8,9,14,15,2,8,9,5,20,7,12,13,12,12,2,12
41,7,9,10,12,18,10,5,8,7,7,12,8,7,9,4,10,2,10,4,5,5,8,8,0,1,9,9,7,14,4,14,2,12,5,3,8,9,6,7,4,0,14,10,8,3,9,8,14,8,3,12,7,18,14,6,8,13,9,16,9,9,6,17,12,5,9,11,6,22,8,13,10,14,8,4,10
42,12,7,6,8,15,9,12,8,11,12,4,11,12,6,12,9,14,8,17,10,11,10,6,14,15,6,10,12,6,18,8,14,6,12,17,8,7,10,12,13,14,0,10,11,16,6,10,5,7,12,2,9,14,2,10,7,8,9,11,11,7,10,9,15,11,6,9,9,19,7,8,14,7,12,15,14
43,5,6,6,17,22,0,9,3,5,6,8,5,7,6,10,0,10,0,12,6,10,6,11,11,10,7,2,6,4,14,4,9,15,10,12,3,10,7,7,9,10,10,0,5,11,6,3,4,3,8,8,5,21,10,4,3,3,14,6,2,6,5,7,7,10,4,1,6,12,10,4,5,4,6,10,4
44,0,8,9,19,25,5,12,4,1,1,10,0,2,8,11,5,8,5,7,8,12,1,12,7,8,9,4,1,9,8,9,8,16,12,10,5,12,9,2,11,8,11,5,0,6,8,2,8,4,8,10,8,24,12,2,4,8,16,11,4,8,2,12,5,12,6,6,8,17,12,8,2,8,2,11,5
45,6,10,10,14,21,10,7,9,6,6,12,6,5,10,6,11,3,11,1,6,7,6,10,3,4,10,9,6,15,2,15,3,12,7,6,8,10,6,5,6,3,16,11,6,0,10,8,13,9,4,14,8,21,14,7,8,14,11,16,9,10,6,17,10,7,9,11,7,22,10,15,7,14,6,7,11
46,9,1,0,12,18,7,6,5,8,8,2,8,8,1,6,6,8,7,11,4,6,9,5,9,9,0,8,8,5,12,6,8,8,6,11,4,5,4,8,8,9,6,6,8,10,0,8,4,5,7,4,3,16,4,8,5,6,8,8,8,1,7,8,12,6,3,6,4,16,5,5,10,5,10,9,10
47,2,7,8,18,24,3,10,3,2,2,9,3,4,7,10,3,6,3,10,8,11,3,11,8,7,8,2,2,7,10,7,7,15,11,10,4,12,7,4,9,8,10,3,2,8,8,0,6,3,7,9,6,24,10,1,3,6,15,9,2,7,2,10,6,11,4,4,7,14,12,7,4,6,4,10,3
48,8,5,4,12,19,5,10,6,8,8,4,8,9,4,10,4,12,5,15,8,10,9,6,12,12,4,6,8,2,16,4,12,10,10,16,6,6,8,10,12,14,5,4,8,13,4,6,0,6,11,3,7,18,5,7,6,4,10,6,6,5,8,4,11,10,4,4,8,14,7,4,9,3,9,13,8
49,4,4,5,15,23,3,8,1,4,4,6,4,4,4,7,3,7,3,10,4,8,4,9,8,8,5,4,4,6,11,6,7,13,8,10,2,10,5,4,7,8,7,3,4,9,5,3,6,0,6,6,4,22,8,3,1,6,13,8,4,4,3,9,9,9,2,3,5,14,9,6,6,6,6,8,6
50,8,6,7,11,17,8,4,6,8,8,9,8,8,7,4,8,2,8,5,3,4,8,6,3,2,7,8,8,12,5,12,2,9,4,4,5,6,3,8,3,3,12,8,8,4,7,7,11,6,0,10,4,17,11,7,6,11,8,14,8,7,7,14,12,4,7,9,4,19,6,12,10,11,10,4,10
51,10,5,4,10,16,8,10,6,10,10,2,10,9,4,10,8,12,8,16,8,10,10,5,13,13,4,9,10,4,16,6,12,7,10,15,6,5,8,10,11,12,2,8,10,14,4,9,3,6,10,0,7,16,2,9,6,6,7,9,10,5,8,7,14,10,4,8,8,17,5,6,12,6,11,13,12
52,8,2,3,12,19,5,4,4,7,7,5,8,8,2,4,5,6,5,8,2,4,8,6,7,6,3,7,8,8,10,8,6,10,5,9,2,6,2,7,5,7,9,5,8,8,3,6,7,4,4,7,0,18,7,7,4,7,10,10,7,2,6,11,12,5,3,5,2,15,6,8,10,7,9,6,9
53,24,16,17,6,3,23,13,21,23,25,15,25,25,16,14,23,17,22,21,16,13,23,12,17,17,16,25,26,18,22,22,18,8,13,15,19,12,16,25,14,18,14,21,24,21,16,24,18,22,17,16,18,0,14,23,21,21,8,24,24,16,24,22,29,13,20,22,16,31,12,22,26,20,26,13,26
54,12,5,4,8,15,10,10,8,12,12,2,12,12,4,10,10,12,9,14,8,10,12,5,12,13,4,11,12,6,15,8,12,5,10,16,6,5,8,11,12,14,2,10,12,14,4,10,5,8,11,2,7,14,0,11,8,8,7,11,11,5,10,9,16,10,6,9,8,18,5,9,14,8,13,13,14
55,2,8,8,18,24,4,11,3,1,2,10,2,3,7,11,4,7,4,8,8,10,2,12,6,8,8,2,2,8,9,8,7,16,11,10,5,12,8,3,10,6,10,4,2,7,8,1,7,3,7,9,7,23,11,0,3,7,16,10,2,7,1,10,6,11,5,5,8,16,13,8,3,8,3,10,4
56,4,4,5,15,21,3,8,0,4,4,7,4,4,4,8,3,7,3,10,4,8,4,9,8,7,5,4,4,7,10,7,7,12,8,10,2,9,5,4,7,8,7,3,4,8,5,3,6,1,6,6,4,21,8,3,0,6,13,9,4,4,3,9,8,8,2,4,5,14,9,6,6,6,6,8,6
57,8,5,6,17,22,3,10,6,8,9,7,8,9,5,10,3,12,3,14,8,9,8,10,13,13,6,5,8,2,16,2,12,13,9,16,6,10,8,10,12,13,8,3,8,14,6,6,4,6,11,6,7,21,8,7,6,0,13,3,5,5,8,4,9,10,5,2,8,11,10,1,8,1,10,13,5
58,17,8,8,4,10,14,5,13,17,16,7,16,15,8,6,14,8,14,12,8,5,16,4,10,8,8,16,17,11,13,13,8,5,5,9,12,4,8,15,6,9,9,14,16,11,8,15,10,13,8,7,10,8,7,16,13,13,0,16,16,9,14,14,21,5,11,14,8,24,4,13,18,12,17,6,18
59,11,8,8,18,24,6,12,8,11,12,10,11,13,8,12,6,14,6,18,11,12,11,12,15,14,8,8,11,5,18,3,14,16,12,19,9,12,11,12,14,16,11,6,11,16,8,9,6,8,14,9,10,24,11,10,9,3,16,0,8,8,10,2,12,12,8,6,10,8,12,3,10,4,12,16,6
60,4,8,8,19,25,2,11,4,3,4,10,4,5,8,11,2,8,2,10,8,11,4,13,9,8,8,0,4,6,11,6,7,17,12,10,5,13,9,5,10,9,11,2,4,9,8,2,6,4,8,10,7,24,11,2,4,5,16,8,0,8,3,8,5,12,6,3,8,13,12,5,3,6,4,12,2
61,8,0,1,11,18,6,5,5,8,8,3,8,8,1,5,6,8,6,11,4,5,8,5,9,8,1,8,8,6,11,6,7,9,5,11,3,5,4,8,8,9,7,6,8,10,1,7,5,4,7,5,2,16,5,7,4,5,9,8,8,0,6,8,13,5,3,6,3,15,5,5,10,5,10,8,10
62,2,7,7,18,23,5,10,3,2,2,9,2,2,7,10,5,7,5,7,7,10,2,11,6,7,7,3,2,8,8,9,6,15,11,9,4,12,8,2,9,6,10,5,2,6,7,2,8,3,7,8,6,24,10,1,3,8,14,10,3,6,0,11,6,10,4,6,7,16,11,9,4,8,3,10,5
63,11,8,8,17,22,7,13,9,11,11,8,12,13,8,13,6,15,7,19,12,13,12,10,16,16,8,8,12,3,18,3,16,14,13,18,10,10,11,13,14,17,9,7,12,17,8,10,4,9,14,7,11,22,9,10,9,4,14,2,8,8,11,0,13,13,8,6,11,11,10,4,11,4,12,16,7
64,5,13,13,23,31,7,17,9,5,5,15,5,5,13,15,7,13,7,9,14,16,5,18,12,13,12,5,5,10,8,10,13,21,17,14,10,17,14,5,15,12,15,7,5,10,12,6,11,9,12,14,12,29,16,6,8,9,21,12,5,13,6,13,0,17,11,7,13,18,18,10,3,10,3,16,6
65,13,5,6,8,14,10,1,8,12,12,7,12,12,5,1,10,5,10,8,4,1,12,5,5,4,6,12,12,10,9,10,4,8,0,6,7,5,4,12,2,5,11,10,12,7,6,11,10,9,4,10,5,13,10,11,8,10,5,12,12,5,10,13,17,0,7,10,4,20,5,10,14,10,13,4,13
66,6,3,3,14,20,4,6,2,6,6,5,6,6,3,6,4,8,4,11,4,6,6,7,9,8,3,5,6,5,12,5,8,11,6,11,2,7,4,5,8,9,6,4,6,9,3,4,4,2,7,4,3,20,6,5,2,5,11,8,6,3,4,8,11,7,0,4,3,13,8,5,8,5,7,8,8
67,6,6,6,17,23,1,9,3,6,6,8,6,7,6,9,1,10,1,13,6,9,6,11,11,10,6,3,6,4,14,4,10,14,9,13,4,10,6,8,9,11,9,1,6,11,6,4,4,3,9,8,5,22,9,5,4,2,14,6,3,6,6,6,7,10,4,0,6,11,11,3,6,3,7,10,4
68,9,3,4,10,17,6,4,5,9,9,6,8,9,3,3,7,5,7,8,1,3,8,4,6,5,4,8,9,9,8,9,5,8,4,8,4,5,1,8,5,6,9,6,8,7,4,7,8,5,4,8,2,16,8,8,5,8,8,10,8,3,7,11,13,4,3,6,0,16,5,8,10,8,10,5,10
69,16,15,16,26,34,11,20,14,17,17,18,16,18,15,18,12,20,12,22,17,19,17,21,20,20,16,13,17,12,24,12,20,24,19,23,14,20,17,19,20,22,19,12,17,22,16,14,14,14,19,17,15,31,18,16,14,11,24,8,13,15,16,11,18,20,13,11,16,0,20,11,16,12,17,21,12
70,13,5,5,6,13,11,5,9,13,14,3,13,13,5,5,11,8,11,10,5,5,13,0,8,8,5,12,13,8,11,10,8,4,5,10,8,0,4,13,7,8,7,10,12,10,5,12,7,9,6,5,6,12,5,13,9,10,4,12,12,5,11,10,18,5,8,11,5,20,0,10,15,9,15,8,14
71,8,5,5,16,21,4,10,6,8,9,7,9,10,5,10,4,12,4,16,8,10,8,10,14,13,5,6,9,2,16,1,13,13,10,16,7,9,8,10,12,13,8,4,8,15,5,7,4,6,12,6,8,22,9,8,6,1,13,3,5,5,9,4,10,10,5,3,8,11,10,0,8,1,10,13,6
72,2,10,10,20,26,5,14,6,3,3,12,3,3,10,13,5,10,5,8,10,13,3,15,9,10,10,3,2,9,8,9,10,18,15,12,7,15,12,3,13,10,14,5,2,7,10,4,9,6,10,12,10,26,14,3,6,8,18,10,3,10,4,11,3,14,8,6,10,16,15,8,0,8,2,13,4
73,8,5,5,16,22,4,10,6,8,8,6,9,10,5,10,4,12,4,15,8,10,8,9,13,13,4,6,8,2,15,1,12,12,10,16,6,9,8,9,12,14,7,4,8,14,5,6,3,6,11,6,7,20,8,8,6,1,12,4,6,5,8,4,10,10,5,3,8,12,9,1,8,0,9,13,6
74,2,10,10,22,27,6,13,6,2,2,12,2,2,9,13,6,10,6,6,10,14,2,14,9,10,10,4,2,10,7,10,10,18,14,11,7,15,10,2,12,8,12,6,2,6,10,4,9,6,10,11,9,26,13,3,6,10,17,12,4,10,3,12,3,13,7,7,10,17,15,10,2,9,0,13,6
75,11,8,8,9,14,10,3,8,11,11,11,12,11,8,4,10,4,10,8,5,4,12,8,5,4,8,11,12,13,7,13,4,11,4,3,7,8,5,11,2,4,15,10,11,7,9,10,13,8,4,13,6,13,13,10,8,13,6,16,12,8,10,16,16,4,8,10,5,21,8,13,13,13,13,0,13
76,5,10,10,21,28,4,14,6,5,5,12,5,6,10,13,4,10,4,12,11,13,5,15,10,10,10,2,5,8,13,5,10,18,14,12,7,14,11,6,12,10,14,4,5,11,10,3,8,6,10,12,9,26,14,4,6,5,18,6,2,10,5,7,6,13,8,4,10,12,14,6,4,6,6,13,0
