Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
15,18,18,10,27,2,12,16,14,17,28,22,6,20,18,0,17,23,2,17,22,3,19,14,2,13,18,10,2,12,16,16,10,19,6,16,11,27,18,14,10,16,17,20,11,20,19,22,28,30,17,24,28,21,27,18,17,21,23,24,17,21,27,25
16,3,3,6,16,15,5,2,8,1,14,9,11,4,7,17,0,14,14,2,14,14,8,8,14,4,2,6,14,5,5,2,6,2,11,2,6,13,3,7,8,1,12,4,6,3,13,7,18,14,2,9,14,4,17,14,5,9,7,14,5,6,17,10
17,18,16,14,5,20,20,16,9,16,5,6,18,12,21,23,14,0,20,15,1,21,6,23,21,12,16,16,21,15,10,16,13,16,17,16,18,5,15,10,19,15,26,16,14,17,28,12,5,8,14,9,7,16,5,4,19,6,15,1,20,13,5,6
18,17,16,8,24,1,10,14,12,16,26,20,4,17,16,2,14,20,0,15,21,0,17,12,0,10,15,9,0,10,13,15,8,16,4,14,8,26,17,12,9,14,16,18,8,16,17,19,26,27,16,24,26,18,25,17,15,20,20,21,16,20,26,24
19,2,2,8,18,16,7,2,8,1,14,10,12,4,6,17,2,15,15,0,15,15,8,9,15,6,1,7,16,6,5,1,8,1,12,2,8,14,2,8,10,2,12,3,7,2,13,5,17,14,0,8,16,3,18,13,5,10,6,14,5,4,18,10
20,16,16,13,5,20,19,16,9,15,5,5,17,11,21,22,14,1,21,15,0,21,6,22,20,12,16,16,20,15,10,15,13,15,18,16,19,5,14,10,20,14,26,15,12,16,26,11,5,8,14,9,7,16,5,4,20,5,14,0,20,12,5,6
21,17,17,8,25,1,9,13,12,16,26,20,4,16,16,3,14,21,0,15,21,0,16,12,0,10,15,9,0,10,13,15,8,17,4,14,8,25,17,12,9,15,16,17,9,16,17,21,26,27,15,22,26,19,26,18,15,20,22,20,16,20,24,24
22,11,10,9,9,17,13,10,5,8,10,4,13,5,14,19,8,6,17,8,6,16,0,16,17,7,10,10,16,9,4,9,9,10,14,11,12,9,9,5,13,8,20,9,8,10,22,6,10,13,8,7,10,10,10,5,13,4,8,6,14,6,10,7
23,10,10,9,25,12,4,7,15,9,21,17,8,12,10,14,8,23,12,9,22,12,16,0,12,11,8,7,12,8,13,9,9,10,8,8,4,22,10,16,4,8,4,12,10,10,10,13,26,22,10,17,23,12,24,22,9,17,15,22,10,13,25,17
24,17,16,8,26,1,9,13,12,16,24,19,4,17,17,2,14,21,0,15,20,0,17,12,0,10,15,9,0,10,13,16,8,16,4,14,8,26,17,12,9,15,15,18,9,16,17,21,26,28,16,22,26,18,24,18,15,20,22,20,16,20,25,23
25,6,7,3,15,10,8,4,5,5,16,10,7,7,10,13,4,12,10,6,12,10,7,11,10,0,6,4,10,4,4,5,3,6,7,5,7,15,7,5,8,4,14,8,2,7,15,10,16,18,6,12,17,9,16,11,8,10,11,11,8,10,16,14
26,2,2,8,18,16,6,2,9,1,15,11,12,5,5,18,2,16,15,1,16,15,10,8,15,6,0,7,15,6,6,1,8,1,12,2,8,15,2,9,10,2,10,3,7,2,12,6,19,13,1,8,16,3,18,15,4,11,6,16,4,4,18,10
27,8,9,3,19,9,3,5,10,7,17,12,5,9,9,10,6,16,9,7,16,9,10,7,9,4,7,0,8,2,6,6,3,8,5,6,3,18,8,10,4,6,11,9,4,8,12,12,20,20,7,15,18,10,19,15,7,12,13,15,7,12,19,15
28,16,17,8,24,1,9,14,12,15,25,20,4,18,16,2,14,21,0,16,20,0,16,12,0,10,15,8,0,10,14,14,8,17,4,14,8,24,16,12,9,14,15,17,9,16,17,20,26,29,15,22,27,19,24,18,16,20,20,20,16,20,26,22
29,7,8,2,18,10,4,4,8,6,16,11,7,8,8,12,5,15,10,6,15,10,9,8,10,4,6,2,10,0,6,6,2,7,6,5,4,16,7,8,5,5,11,9,3,8,11,11,18,18,6,13,18,10,18,15,6,11,12,15,6,10,18,14
30,7,7,6,13,14,10,6,3,6,12,6,10,4,12,16,5,10,13,5,10,13,4,13,13,4,6,6,14,6,0,6,6,6,10,7,9,12,5,3,10,5,17,6,5,6,17,8,12,15,5,10,14,7,13,9,10,6,8,10,10,6,13,11
31,2,2,8,18,15,6,2,9,1,14,10,12,4,6,16,2,16,15,1,15,15,9,9,16,5,1,6,14,6,6,0,8,2,12,2,7,14,2,9,10,2,11,3,6,2,12,6,18,14,1,8,15,4,18,14,4,10,6,15,4,5,18,10
32,10,10,0,18,8,6,6,7,8,18,12,4,9,9,10,6,13,8,8,13,8,9,9,8,3,8,3,8,2,6,8,0,9,5,7,6,18,9,6,7,7,13,10,1,10,13,13,18,20,8,16,20,12,18,12,8,12,14,13,8,12,18,16
33,2,1,8,19,17,8,4,9,2,14,11,13,5,6,19,2,16,16,1,15,17,10,10,16,6,1,8,17,7,6,2,9,0,13,2,8,15,1,9,11,2,12,2,8,1,12,4,18,13,1,7,15,2,18,14,4,10,5,15,5,4,18,10
34,13,14,5,23,4,6,10,9,12,22,17,0,14,14,6,11,17,4,12,18,4,14,8,4,7,12,5,4,6,10,12,5,13,0,11,5,22,14,9,5,11,12,14,6,13,13,17,23,24,12,20,23,15,23,14,12,17,19,17,12,16,23,20
35,2,3,7,20,14,6,2,10,2,16,12,12,6,4,16,2,16,14,2,16,14,11,8,14,5,2,6,14,5,7,2,7,2,11,0,7,16,2,10,9,3,10,4,6,3,10,6,19,15,2,9,16,5,19,15,3,11,8,16,3,6,20,11
36,8,9,6,20,9,2,6,12,7,17,13,5,9,9,11,6,18,8,8,19,8,12,4,8,7,8,3,8,4,9,7,6,8,5,7,0,18,8,12,3,7,8,10,6,10,10,13,21,21,8,15,20,10,22,18,7,13,14,19,7,12,21,16
37,16,15,17,4,24,18,15,14,14,0,6,21,10,20,27,13,5,26,14,5,25,9,22,26,15,15,18,24,16,12,14,18,15,22,16,18,0,14,14,20,14,24,15,16,16,25,12,4,6,14,8,2,16,4,8,18,6,12,5,18,12,4,5
38,2,2,9,17,17,8,4,8,2,14,10,14,4,6,18,3,15,17,2,14,17,9,10,17,7,2,8,16,7,5,2,9,1,14,2,8,14,0,8,11,2,12,2,8,2,12,4,18,12,2,7,15,2,18,14,5,10,5,15,5,3,17,10
39,10,10,7,13,12,12,9,0,8,14,8,8,5,14,14,7,10,12,8,10,12,5,16,12,5,9,10,12,8,3,9,6,9,9,10,12,14,8,0,12,8,19,8,6,10,19,9,13,17,8,12,16,10,14,6,13,8,9,9,12,8,14,12
40,11,12,7,21,9,4,8,12,10,21,14,5,12,12,10,8,19,9,10,20,9,13,4,9,8,10,4,9,5,10,10,7,11,5,9,3,20,11,12,0,9,7,12,7,12,12,14,22,24,10,18,22,13,23,18,10,15,16,18,11,14,22,18
41,3,3,7,17,14,5,2,8,1,14,9,12,4,7,16,1,15,14,2,14,15,8,8,15,4,2,6,14,5,5,2,7,2,11,3,7,14,2,8,9,0,12,4,6,3,14,6,17,14,2,9,15,5,18,12,5,9,7,14,6,6,17,10
42,10,10,14,30,17,8,11,19,12,25,22,12,16,8,17,12,26,16,12,26,16,20,4,15,14,10,11,15,11,17,11,13,12,12,10,8,24,12,19,7,12,0,11,14,10,9,15,28,20,12,17,26,10,28,26,7,22,13,26,8,14,30,22
43,2,1,10,18,18,9,5,9,3,14,10,15,4,6,20,4,16,18,3,15,17,9,12,18,8,3,9,17,9,6,3,10,2,14,4,10,15,2,8,12,4,11,0,10,2,12,4,18,10,3,7,15,1,18,14,4,11,4,16,4,3,19,10
44,8,8,1,18,8,6,5,6,7,16,12,6,9,8,11,6,14,8,7,12,9,8,10,9,2,7,4,9,3,5,6,1,8,6,6,6,16,8,6,7,6,14,10,0,9,14,11,17,20,7,14,18,10,17,11,7,11,13,13,8,11,17,15
45,1,0,10,18,16,8,4,9,2,15,11,14,6,5,20,3,17,16,2,16,16,10,10,16,7,2,8,16,8,6,2,10,1,13,3,10,16,2,10,12,3,10,2,9,0,11,4,19,12,2,8,17,2,19,14,4,12,5,16,4,4,20,11
46,10,11,13,29,16,8,12,19,12,26,22,14,16,6,19,13,28,17,13,26,17,22,10,17,15,12,12,17,11,17,12,13,12,13,10,10,25,12,19,12,14,9,12,14,11,0,15,31,21,12,18,26,11,31,24,8,23,13,28,7,14,30,20
47,5,5,12,14,21,12,8,8,6,11,7,16,4,9,22,7,12,19,5,11,21,6,13,21,10,6,12,20,11,8,6,13,4,17,6,13,12,4,9,14,6,15,4,11,4,15,0,15,9,5,4,12,4,16,11,8,7,2,12,8,1,16,7
48,20,18,18,0,27,22,19,14,18,4,8,23,14,23,28,18,5,26,17,5,26,10,26,26,16,19,20,26,18,12,18,18,18,23,19,21,4,18,13,22,17,28,18,17,19,31,15,0,10,17,11,3,19,0,9,23,8,17,5,22,16,0,8
49,12,11,21,10,29,19,15,17,14,6,9,26,12,14,30,14,8,27,14,8,27,13,22,28,18,13,20,29,18,15,14,20,13,24,15,21,6,12,17,24,14,20,10,20,12,21,9,10,0,12,6,7,11,10,11,13,9,7,8,13,9,10,5
50,2,2,8,17,15,7,3,8,1,14,10,12,4,6,17,2,14,16,0,14,15,8,10,16,6,1,7,15,6,5,1,8,1,12,2,8,14,2,8,10,2,12,3,7,2,12,5,17,12,0,8,15,3,18,13,5,10,6,14,5,4,18,10
51,8,8,16,11,24,14,10,12,8,8,4,20,6,12,24,9,9,24,8,9,22,7,17,22,12,8,15,22,13,10,8,16,7,20,9,15,8,7,12,18,9,17,7,14,8,18,4,11,6,8,0,10,8,12,8,11,4,6,8,11,4,12,4
52,16,17,20,3,27,19,16,15,15,2,7,23,12,22,28,14,7,26,16,7,26,10,23,26,17,16,18,27,18,14,15,20,15,23,16,20,2,15,16,22,15,26,15,18,17,26,12,3,7,15,10,0,17,3,11,19,8,15,6,19,13,3,6
53,2,2,11,19,19,10,6,9,4,15,12,15,6,5,21,4,16,18,3,16,19,10,12,18,9,3,10,19,10,7,4,12,2,15,5,10,16,2,10,13,5,10,1,10,2,11,4,19,11,3,8,17,0,19,16,4,11,3,16,4,4,20,10
54,20,18,18,1,25,22,20,14,18,4,8,22,13,24,27,17,5,25,18,5,26,10,24,24,16,18,19,24,18,13,18,18,18,23,19,22,4,18,14,23,18,28,18,17,19,31,16,0,10,18,12,3,19,0,9,23,8,16,5,23,16,0,9
55,16,15,12,8,17,18,15,6,13,9,4,13,10,19,18,14,4,17,13,4,18,5,22,18,11,15,15,18,15,9,14,12,14,14,15,18,8,14,6,18,12,26,14,11,14,24,11,9,11,13,8,11,16,9,0,19,4,12,4,19,12,9,7
56,3,4,8,22,16,6,4,13,5,19,14,12,9,2,17,5,19,15,5,20,15,13,9,15,8,4,7,16,6,10,4,8,4,12,3,7,18,5,13,10,5,7,4,7,4,8,8,23,13,5,11,19,4,23,19,0,15,6,20,0,8,22,14
57,12,11,12,8,20,14,11,8,10,6,0,16,6,16,21,9,6,20,10,5,20,4,17,20,10,11,12,20,11,6,10,12,10,17,11,13,6,10,8,15,9,22,11,11,12,23,7,8,9,10,4,8,11,8,4,15,0,9,5,15,8,8,4
58,5,5,14,16,22,13,8,10,6,13,9,17,5,7,23,7,15,20,6,14,22,8,15,22,11,6,13,20,12,8,6,14,5,19,8,14,12,5,9,16,7,13,4,13,5,13,2,17,7,6,6,15,3,16,12,6,9,0,14,6,2,18,9
59,16,16,14,5,22,18,16,9,15,5,5,18,11,21,24,14,1,21,14,0,20,6,22,20,11,16,15,20,15,10,15,13,15,17,16,19,5,15,9,18,14,26,16,13,16,28,12,5,8,14,8,6,16,5,4,20,5,14,0,18,12,5,6
60,3,4,8,22,15,6,4,13,5,18,14,13,9,2,17,5,20,16,5,20,16,14,10,16,8,4,7,16,6,10,4,8,5,12,3,7,18,5,12,11,6,8,4,8,4,7,8,22,13,5,11,19,4,23,19,0,15,6,18,0,7,22,14
61,5,4,12,15,20,11,6,8,5,12,8,16,3,8,21,6,13,20,4,12,20,6,13,20,10,4,12,20,10,6,5,12,4,16,6,12,12,3,8,14,6,14,3,11,4,14,1,16,9,4,4,13,4,16,12,8,8,2,12,7,0,16,8
62,20,20,18,1,26,21,19,14,19,4,8,23,14,25,27,17,5,26,18,5,24,10,25,25,16,18,19,26,18,13,18,18,18,23,20,21,4,17,14,22,17,30,19,17,20,30,16,0,10,18,12,3,20,0,9,22,8,18,5,22,16,0,8
63,11,11,16,8,23,14,11,12,10,5,4,20,7,16,25,10,6,24,10,6,24,7,17,23,14,10,15,22,14,11,10,16,10,20,11,16,5,10,12,18,10,22,10,15,11,20,7,8,5,10,4,6,10,9,7,14,4,9,6,14,8,8,0
