Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
21,15,20,28,38,39,16,15,28,35,35,27,37,28,37,18,38,25,26,33,12,0,29,26,22,34,16,40,42,34,37,39,40,37,18,4,1,7,38,42,37,26,36,36,36,14,39,36
22,13,9,2,9,10,13,13,11,7,11,4,10,2,8,12,10,5,12,8,17,29,0,6,10,7,12,10,12,7,14,11,11,14,11,24,28,33,11,14,8,4,9,10,9,14,12,10
23,12,7,6,12,12,11,12,5,9,10,3,13,6,11,9,12,4,6,7,16,26,6,0,4,9,11,12,14,9,12,12,13,13,10,23,26,31,14,16,11,5,10,10,11,12,14,8
24,8,3,9,14,17,10,7,7,13,14,6,17,9,14,12,17,6,3,10,11,22,10,4,0,14,10,17,18,13,16,16,17,17,13,20,23,26,17,19,15,8,14,14,16,8,18,13
25,21,15,9,2,4,20,20,6,0,4,8,4,9,4,18,7,12,10,3,23,34,7,9,14,0,19,8,6,0,8,4,4,8,18,31,38,40,9,7,4,10,5,3,2,21,6,2
26,2,10,11,21,24,1,8,13,19,20,12,22,12,22,3,22,9,12,18,11,16,12,11,10,19,0,22,25,19,23,23,22,24,3,14,17,19,23,28,20,9,22,20,22,11,24,20
27,23,19,11,8,4,23,22,13,9,11,12,7,12,4,22,2,15,14,8,26,40,10,12,17,8,22,0,7,8,15,7,9,16,22,35,39,44,2,7,4,14,3,11,8,25,5,11
28,25,20,14,3,3,24,25,11,6,5,14,2,13,4,23,6,17,15,8,28,42,12,14,18,6,25,7,0,5,8,2,2,9,23,38,43,44,8,2,4,16,4,4,4,27,3,6
29,20,16,9,2,4,20,20,6,0,4,8,4,8,4,18,7,12,10,3,24,34,7,9,13,0,19,8,5,0,7,4,4,7,18,32,38,38,10,7,5,11,5,3,2,20,6,2
30,24,19,14,7,11,24,22,9,7,4,11,9,14,12,22,13,14,14,7,28,37,14,12,16,8,23,15,8,7,0,9,8,0,21,34,38,43,17,9,12,14,13,5,8,24,11,5
31,24,18,12,2,3,23,23,9,4,5,12,0,12,3,20,6,15,13,6,28,39,11,12,16,4,23,7,2,4,9,0,2,8,21,35,40,43,8,4,3,14,4,5,2,23,2,4
32,24,19,12,2,4,23,24,10,4,4,12,2,12,4,21,7,15,14,6,29,40,11,13,17,4,22,9,2,4,8,2,0,7,22,34,38,44,9,4,5,14,6,3,2,26,4,5
33,25,18,14,8,11,22,24,10,8,4,12,9,14,11,22,14,14,13,7,28,37,14,13,17,8,24,16,9,7,0,8,7,0,22,35,41,41,16,9,12,14,13,4,8,24,11,5
34,4,11,10,20,22,3,10,14,18,18,10,20,10,20,0,20,7,15,16,14,18,11,10,13,18,3,22,23,18,21,21,22,22,0,14,18,22,23,25,19,8,20,20,20,13,24,17
35,12,17,25,35,36,12,14,25,33,32,24,34,24,32,14,35,22,22,30,16,4,24,23,20,31,14,35,38,32,34,35,34,35,14,0,4,10,35,38,35,22,33,33,35,16,36,32
36,15,22,27,39,38,16,16,31,34,35,29,39,28,36,19,39,26,25,32,13,1,28,26,23,38,17,39,43,38,38,40,38,41,18,4,0,8,40,42,36,27,37,36,38,16,41,36
37,19,23,31,43,42,19,19,35,41,38,30,43,30,40,22,41,27,30,37,15,7,33,31,26,40,19,44,44,38,43,43,44,41,22,10,8,0,44,45,39,30,39,40,39,18,42,39
38,25,19,13,9,6,24,25,13,9,12,13,8,12,5,22,3,16,14,10,28,38,11,14,17,9,23,2,8,10,17,8,9,16,23,35,40,44,0,8,5,14,4,12,8,25,6,11
39,27,22,15,5,4,27,28,13,7,6,15,4,15,6,24,5,19,17,10,32,42,14,16,19,7,28,7,2,7,9,4,4,9,25,38,42,45,8,0,6,18,6,6,5,27,2,8
40,22,17,10,4,3,22,21,9,5,8,9,3,10,1,20,3,12,12,5,24,37,8,11,15,4,20,4,4,5,12,3,5,12,19,35,36,39,5,6,0,12,1,8,4,22,4,6
41,10,7,3,13,15,10,10,10,11,11,3,14,2,11,7,14,2,11,8,13,26,4,5,8,10,9,14,16,11,14,14,14,14,8,22,27,30,14,18,12,0,12,12,13,11,15,10
42,22,17,10,5,2,21,21,10,5,8,10,4,10,1,19,2,13,11,6,24,36,9,10,14,5,22,3,4,5,13,4,6,13,20,33,37,39,4,6,1,12,0,8,5,23,4,7
43,20,17,10,4,8,22,21,7,3,1,9,5,10,7,19,10,13,11,4,24,36,10,10,14,3,20,11,4,3,5,5,3,4,20,33,36,40,12,6,8,12,8,0,4,22,7,2
44,23,16,10,1,4,22,21,8,2,4,10,2,10,4,20,6,14,12,4,26,36,9,11,16,2,22,8,4,2,8,2,2,8,20,35,38,39,8,5,4,13,5,4,0,22,4,3
45,9,6,12,23,25,10,3,14,20,21,12,23,13,22,13,25,10,10,18,4,14,14,12,8,21,11,25,27,20,24,23,26,24,13,16,16,18,25,27,22,11,23,22,22,0,26,20
46,25,20,14,4,2,26,24,11,5,8,14,2,13,4,24,4,16,16,7,28,39,12,14,18,6,24,5,3,6,11,2,4,11,24,36,41,42,6,2,4,15,4,7,4,26,0,6
47,20,15,10,3,6,18,20,6,2,2,7,4,9,6,18,9,10,10,2,23,36,10,8,13,2,20,11,6,2,5,4,5,5,17,32,36,39,11,8,6,10,7,2,3,20,6,0
