Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
24,6,4,6,13,46,16,8,16,27,6,14,9,12,6,10,21,14,6,16,6,6,6,30,0,14,2,13,9,24,15,48,9,33,15,13,11,6,26,6,15,47,4,36
25,16,14,9,2,60,2,8,3,27,8,1,8,2,8,4,20,1,8,11,8,20,8,28,14,0,13,2,8,24,2,61,6,30,3,10,4,8,26,8,13,61,10,41
26,7,3,6,12,48,14,9,14,28,5,13,10,12,5,9,22,14,5,14,5,8,5,31,2,13,0,12,7,23,12,50,7,32,14,11,10,5,26,5,15,48,2,35
27,14,14,8,1,62,4,8,3,27,7,1,8,1,8,3,20,2,8,9,8,18,8,28,13,2,12,0,9,20,2,61,5,30,4,8,3,8,24,8,12,60,10,41
28,13,10,12,9,54,7,15,10,35,8,8,16,9,8,10,29,8,8,18,8,14,8,36,9,8,7,9,0,30,7,58,10,38,6,17,9,8,33,11,20,58,6,34
29,23,28,19,21,67,26,17,19,28,22,23,15,22,22,20,24,23,22,12,23,26,22,20,24,24,23,20,30,0,23,66,20,19,24,13,21,22,3,19,10,70,25,63
30,16,16,9,3,64,1,9,4,28,9,2,10,3,8,4,21,2,9,12,9,21,9,29,15,2,12,2,7,23,0,59,6,34,2,11,4,9,25,8,14,65,12,42
31,45,46,54,61,1,61,53,64,42,54,61,57,58,56,58,46,59,54,60,56,42,56,50,48,61,50,61,58,66,59,0,57,49,65,58,59,53,70,55,61,2,50,24
32,10,10,4,5,58,6,5,8,24,3,6,7,5,3,2,19,6,3,9,3,15,3,28,9,6,7,5,10,20,6,57,0,31,7,8,2,3,24,3,11,56,6,40
33,28,35,29,31,51,32,24,29,8,31,32,24,32,33,28,12,32,31,22,32,28,30,3,33,30,32,30,38,19,34,49,31,0,34,22,29,31,22,29,20,51,34,68
34,17,16,10,4,62,1,10,5,29,9,3,10,4,9,5,22,3,9,12,9,20,9,32,15,3,14,4,6,24,2,65,7,34,0,12,5,10,26,10,15,61,12,44
35,14,14,8,9,58,12,8,7,19,10,10,6,9,10,7,16,10,10,3,10,19,9,20,13,10,11,8,17,13,11,58,8,22,12,0,8,10,15,8,4,64,12,47
36,12,12,6,3,58,5,5,6,26,4,4,7,3,5,2,19,5,5,9,5,17,5,28,11,4,10,3,9,21,4,59,2,29,5,8,0,5,22,5,12,58,8,40
37,8,7,4,7,51,10,7,10,27,1,8,9,7,1,4,20,9,1,10,1,12,1,28,6,8,5,8,8,22,9,53,3,31,10,10,5,0,26,4,12,51,3,36
38,25,28,22,24,70,28,19,23,30,24,25,16,24,26,21,28,24,26,14,24,29,25,20,26,26,26,24,33,3,25,70,24,22,26,15,22,26,0,22,12,72,28,60
39,7,8,1,8,55,10,4,10,25,3,8,6,8,3,4,17,9,3,10,3,12,3,26,6,8,5,8,11,19,8,55,3,29,10,8,5,4,22,0,10,54,5,43
40,15,17,10,12,58,15,9,10,20,13,12,7,12,14,10,18,13,13,3,13,19,13,16,15,13,15,12,20,10,14,61,11,20,15,4,12,12,12,10,0,63,14,52
41,46,49,50,60,2,60,52,64,42,53,63,56,61,52,60,44,59,54,66,51,44,55,49,47,61,48,60,58,70,65,2,56,51,61,64,58,51,72,54,63,0,51,25
42,6,4,6,10,50,12,9,12,30,3,11,10,10,3,7,22,11,3,12,3,10,3,30,4,10,2,10,6,25,12,50,6,34,12,12,8,3,28,5,14,51,0,37
43,42,32,44,40,22,42,43,43,65,37,42,46,42,36,41,61,41,39,48,38,40,40,65,36,41,35,41,34,63,42,24,40,68,44,47,40,36,60,43,52,25,37,0
