Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
11,40,10,0,10,10,6,40,11,22,10,0,10,10,9,9,11,42,13,17,37,10,47,14,12,19,9,10,45,7,10,42,44,10,9,12,17,10,13,12,24,10,23,2,14,6,15,30,10,16,10,12,22,0,6,10,14,6,10,27,14,25,26,58,11,37,10,11,25,47,19,18,24,28
12,30,1,11,0,1,5,30,8,19,6,10,0,0,1,1,2,29,3,8,29,0,37,4,3,9,1,1,48,4,0,30,33,0,6,2,8,5,3,3,16,1,18,8,12,8,5,20,1,12,1,8,20,10,5,5,10,5,1,26,11,20,21,46,12,26,1,7,15,36,8,8,16,17
13,30,1,10,0,0,5,31,8,18,6,10,0,0,1,1,2,30,3,8,27,0,36,4,3,9,1,1,47,4,0,30,34,0,6,2,8,5,3,3,17,1,18,8,11,8,5,20,1,11,1,8,19,10,5,5,10,5,1,25,11,20,21,45,12,27,1,7,16,37,8,8,16,17
14,31,1,9,1,1,4,33,8,20,6,9,1,1,0,1,2,32,4,9,28,1,38,4,4,10,1,1,48,3,1,30,32,1,7,3,8,5,4,2,17,1,20,8,12,7,6,20,0,12,1,8,20,10,4,6,11,4,2,26,12,21,23,46,12,28,1,8,16,38,9,9,16,18
15,30,0,9,1,1,5,31,8,20,6,9,1,1,1,0,2,31,4,8,29,1,36,4,4,10,1,1,49,3,1,30,33,1,6,3,8,5,4,3,16,0,19,8,12,7,6,21,1,12,1,8,20,10,5,6,11,5,1,24,10,22,22,46,12,27,1,7,15,35,9,8,16,17
16,30,2,12,1,2,6,29,7,18,5,11,2,2,2,2,0,31,2,6,28,2,36,2,2,8,2,2,50,5,2,30,31,2,5,2,6,4,2,4,16,2,18,9,10,8,4,19,2,11,2,10,18,11,6,4,9,6,2,22,10,20,20,45,13,25,2,6,14,36,7,7,14,16
17,0,32,41,31,30,34,0,32,41,31,42,29,30,32,31,31,0,27,23,3,31,8,28,27,22,31,32,66,34,30,0,12,31,34,28,24,30,28,28,20,30,29,40,35,34,24,16,32,28,32,30,37,42,34,31,31,33,32,38,33,38,42,22,42,4,30,33,15,13,22,23,15,15
18,29,4,13,3,3,7,28,6,17,4,13,3,3,4,4,2,27,0,6,25,3,35,2,0,6,4,3,48,6,3,28,30,3,7,1,6,3,0,5,15,4,18,11,9,10,2,18,4,10,3,10,17,13,7,4,9,7,3,22,9,18,20,44,15,24,3,5,12,34,6,6,13,14
19,24,8,16,8,8,12,24,9,16,8,17,8,8,9,8,6,23,6,0,22,8,30,5,6,9,8,8,58,11,8,23,25,8,11,6,0,7,6,11,9,8,12,15,14,15,5,12,8,4,8,16,13,17,12,8,10,12,8,17,12,17,18,41,20,20,8,10,8,28,5,6,8,10
20,3,28,37,27,28,31,3,29,39,28,37,29,27,28,29,28,3,25,22,0,28,10,24,26,18,28,30,66,32,28,3,11,28,33,26,21,28,25,27,20,28,25,36,33,31,24,15,28,26,28,27,32,36,31,28,29,34,28,38,31,36,39,21,39,2,29,30,14,11,20,20,13,11
21,30,1,10,0,0,5,32,8,18,6,10,0,0,1,1,2,31,3,8,28,0,37,4,3,9,1,1,48,4,0,29,32,0,6,2,8,5,3,3,17,1,19,8,12,8,5,20,1,12,1,8,20,10,5,6,10,5,1,25,11,21,22,46,12,27,1,7,15,36,8,8,16,16
22,8,38,49,36,38,43,8,40,46,39,47,37,36,38,36,36,8,35,30,10,37,0,33,35,30,38,38,70,41,37,8,6,40,41,36,31,37,35,36,25,36,34,44,45,44,33,19,38,33,38,37,41,49,43,40,39,44,36,45,42,47,50,16,51,12,37,40,22,6,29,29,22,20
23,27,4,13,4,4,8,27,5,16,3,14,4,4,4,4,2,28,2,5,24,4,33,0,2,6,4,4,51,7,4,29,30,4,8,2,5,3,2,6,14,4,16,11,10,11,2,16,4,8,4,12,16,13,8,4,7,8,4,21,8,17,18,46,16,24,4,6,13,34,5,5,12,14
24,28,4,13,3,3,7,28,6,18,4,12,3,3,4,4,2,27,0,6,26,3,35,2,0,6,4,3,49,6,3,28,29,3,7,1,6,3,0,5,15,3,16,11,9,10,2,17,4,10,3,10,18,13,7,4,8,7,3,22,9,20,19,44,15,24,3,5,12,34,6,6,14,14
25,22,9,18,9,9,13,22,11,20,8,19,9,9,10,10,8,22,6,9,18,9,30,6,6,0,10,9,46,12,9,22,24,9,13,7,9,9,6,7,18,10,19,17,15,13,4,14,9,14,10,7,21,19,13,10,11,14,9,26,13,23,23,38,21,19,8,12,7,27,4,3,9,8
26,31,1,9,1,1,5,32,8,18,6,9,1,1,1,1,2,31,4,8,28,1,38,4,4,10,0,1,50,3,1,30,32,1,6,3,8,5,4,3,16,1,20,7,11,8,6,21,1,12,1,8,20,10,5,5,10,5,1,25,10,21,20,47,12,28,1,7,16,37,8,8,17,17
27,32,1,10,1,0,5,31,8,20,6,10,1,1,1,1,2,32,3,8,30,1,38,4,3,9,1,0,46,4,1,32,32,1,6,3,8,5,3,3,16,1,19,8,11,8,6,20,1,12,0,8,19,10,5,5,10,5,1,24,11,20,21,47,12,28,1,7,15,37,8,8,15,16
28,66,48,45,47,48,45,64,58,65,54,45,48,47,48,49,50,66,48,58,66,48,70,51,49,46,50,46,0,49,49,69,66,49,54,51,58,51,52,46,68,48,66,48,59,40,50,62,48,57,49,41,68,44,42,52,56,43,49,73,60,69,69,81,58,60,48,54,52,70,52,51,56,54
29,35,4,7,4,4,4,35,10,19,8,7,4,4,3,3,5,34,6,11,32,4,41,7,6,12,3,4,49,0,4,32,37,4,8,6,11,6,7,5,19,3,21,5,12,6,9,23,3,13,3,7,20,7,4,6,11,4,4,25,12,23,22,52,10,30,4,8,19,38,11,12,19,21
30,31,1,10,0,1,5,31,8,19,6,10,0,0,1,1,2,30,3,8,28,0,37,4,3,9,1,1,49,4,0,29,31,0,6,2,8,5,3,3,16,1,18,9,11,8,5,19,1,12,1,8,19,10,5,5,10,5,1,25,11,21,20,48,13,26,1,8,14,36,8,8,15,16
31,0,32,40,31,31,36,0,32,38,30,42,30,30,30,30,30,0,28,23,3,29,8,29,28,22,30,32,69,32,29,0,13,30,35,28,24,30,29,28,20,32,28,37,38,34,26,16,31,27,30,28,35,41,36,30,32,35,31,38,36,40,40,22,44,4,31,32,16,12,24,24,16,14
32,12,32,42,32,33,36,12,32,43,31,44,33,34,32,33,31,12,30,25,11,32,6,30,29,24,32,32,66,37,31,13,0,33,38,29,24,33,28,32,21,32,31,41,38,37,28,13,33,30,33,30,38,43,36,32,34,38,32,40,38,44,42,15,45,9,33,36,17,4,25,24,17,16
33,32,1,10,0,0,5,32,8,20,6,10,0,0,1,1,2,31,3,8,28,0,40,4,3,9,1,1,49,4,0,30,33,0,6,2,8,5,3,3,17,1,18,8,11,8,5,19,1,12,1,8,19,10,5,6,10,5,1,24,11,22,21,48,12,26,1,7,15,36,8,8,16,17
34,34,7,9,6,6,11,34,3,12,5,9,6,6,7,6,5,34,7,11,33,6,41,8,7,13,6,6,54,8,6,35,38,6,0,6,11,5,7,9,16,6,14,8,6,14,10,24,6,8,6,13,14,9,11,4,5,10,6,18,5,15,16,53,8,32,6,2,19,41,12,12,20,20
35,29,3,12,2,3,7,29,6,17,4,12,2,2,3,3,2,28,1,6,26,2,36,2,1,7,3,3,51,6,2,28,29,2,6,0,6,3,1,4,14,3,18,10,10,9,3,17,3,10,3,10,18,12,7,4,8,7,3,22,9,20,20,43,14,26,2,6,13,34,6,6,14,14
36,23,8,18,8,8,12,24,9,16,8,17,8,8,8,8,6,24,6,0,21,8,31,5,6,9,8,8,58,11,8,24,24,8,11,6,0,7,6,10,9,8,11,15,14,15,5,13,8,4,8,15,13,18,12,8,9,12,8,17,12,17,18,39,19,19,8,10,8,28,4,6,9,10
37,30,5,11,5,5,9,29,4,14,2,10,5,5,5,5,4,30,3,7,28,5,37,3,3,9,5,5,51,6,5,30,33,5,5,3,7,0,3,7,12,5,14,8,7,12,5,20,6,8,5,12,15,10,9,1,6,9,4,21,6,16,18,46,13,26,5,3,15,36,8,8,15,16
38,28,4,13,3,3,7,29,6,16,4,13,3,3,4,4,2,28,0,6,25,3,35,2,0,6,4,3,52,7,3,29,28,3,7,1,6,3,0,5,14,4,18,10,10,10,3,17,4,10,3,10,18,13,7,4,8,7,3,23,9,19,20,43,14,25,3,5,13,34,6,5,14,14
39,29,2,12,3,3,6,30,11,22,9,12,3,3,2,3,4,28,5,11,27,3,36,6,5,7,3,3,46,5,3,28,32,3,9,4,10,7,5,0,20,3,20,10,14,6,6,18,3,15,3,6,23,12,6,7,12,6,4,28,12,24,23,44,14,25,2,10,13,32,7,7,14,14
40,21,17,22,16,16,22,22,15,22,13,24,16,17,17,16,16,20,15,9,20,17,25,14,15,18,16,16,68,19,16,20,21,17,16,14,9,12,14,20,0,17,11,21,20,25,14,8,16,9,17,24,19,23,21,14,15,22,16,21,17,22,23,35,24,17,17,15,12,24,14,15,9,14
41,31,0,10,1,1,4,32,8,19,6,10,1,1,1,0,2,30,4,8,28,1,36,4,3,10,1,1,48,3,1,32,32,1,6,3,8,5,4,3,17,0,19,8,12,8,6,21,1,12,1,8,20,10,5,5,10,4,1,24,11,22,22,46,11,26,1,8,15,34,9,8,16,17
42,29,20,23,18,19,22,30,11,12,12,23,18,18,20,19,18,29,18,12,25,19,34,16,16,19,20,19,66,21,18,28,31,18,14,18,11,14,18,20,11,19,0,21,9,26,16,18,20,8,19,26,8,23,22,14,9,23,18,12,8,12,13,44,15,25,20,12,14,34,16,17,13,17
43,38,8,2,8,8,4,38,9,19,8,2,8,8,8,8,9,40,11,15,36,8,44,11,11,17,7,8,48,5,9,37,41,8,8,10,15,8,10,10,21,8,21,0,13,6,13,28,7,13,8,10,21,2,4,8,12,4,8,25,12,23,23,55,9,34,8,9,24,45,15,16,23,25
44,38,12,15,11,11,15,35,5,8,7,14,12,11,12,12,10,35,9,14,33,12,45,10,9,15,11,11,59,12,11,38,38,11,6,10,14,7,10,14,20,12,9,13,0,18,12,26,11,10,11,19,8,14,15,6,5,16,11,14,2,10,11,51,6,34,12,4,22,42,15,14,22,24
45,34,7,6,7,8,3,36,16,25,13,6,8,8,7,7,8,34,10,15,31,8,44,11,10,13,8,8,40,6,8,34,37,8,14,9,15,12,10,6,25,8,26,6,18,0,10,23,7,18,8,7,26,6,3,12,18,3,8,33,18,29,28,53,14,31,7,14,19,39,13,13,19,21
46,26,6,16,5,6,10,27,7,16,5,15,5,5,6,6,4,24,2,5,24,5,33,2,2,4,6,6,50,9,5,26,28,5,10,3,5,5,3,6,14,6,16,13,12,10,0,16,6,9,6,11,16,16,10,6,8,10,6,22,10,18,19,42,16,21,5,8,10,30,4,3,10,12
47,16,20,28,20,20,23,17,22,30,19,30,20,20,20,21,19,16,18,12,15,20,19,16,17,14,21,20,62,23,19,16,13,19,24,17,13,20,17,18,8,21,18,28,26,23,16,0,20,16,19,20,26,30,24,20,22,25,20,28,24,30,30,28,31,13,20,23,8,16,12,12,5,10
48,30,1,9,1,1,4,32,8,19,7,10,1,1,0,1,2,32,4,8,28,1,38,4,4,9,1,1,48,3,1,31,33,1,6,3,8,6,4,3,16,1,20,7,11,7,6,20,0,13,1,8,20,10,4,6,11,4,2,25,12,20,22,48,12,28,1,8,16,37,9,9,16,18
49,26,12,16,12,12,16,26,6,13,6,16,12,11,12,12,11,28,10,4,26,12,33,8,10,14,12,12,57,13,12,27,30,12,8,10,4,8,10,15,9,12,8,13,10,18,9,16,13,0,12,20,10,15,16,7,6,16,11,13,8,14,14,42,16,23,13,6,12,32,9,11,12,12
50,31,1,10,1,0,5,30,8,19,6,10,1,1,1,1,2,32,3,8,28,1,38,4,3,10,1,0,49,3,1,30,33,1,6,3,8,5,3,3,17,1,19,8,11,8,6,19,1,12,0,8,19,10,5,5,10,5,1,24,10,21,21,48,12,28,1,7,16,35,8,8,16,16
51,27,8,12,8,8,7,27,16,26,14,12,8,8,8,8,10,30,10,16,27,8,37,12,10,7,8,8,41,7,8,28,30,8,13,10,15,12,10,6,24,8,26,10,19,7,11,20,8,20,8,0,26,12,7,13,19,7,9,33,18,30,28,45,16,25,8,15,13,32,12,10,16,15
52,35,20,22,19,19,23,38,12,4,14,22,20,19,20,20,18,37,17,13,32,20,41,16,18,21,20,19,68,20,19,35,38,19,14,18,13,15,18,23,19,20,8,21,8,26,16,26,20,10,19,26,0,23,24,14,10,25,20,5,10,4,5,54,12,32,20,12,20,43,16,19,21,22
53,40,10,0,11,10,6,42,11,22,11,0,10,10,10,10,11,42,13,17,36,10,49,13,13,19,10,10,44,7,10,41,43,10,9,12,18,10,13,12,23,10,23,2,14,6,16,30,10,15,10,12,23,0,6,9,14,6,10,27,14,24,26,58,11,35,10,10,24,48,18,18,26,28
54,34,5,6,5,5,0,36,13,23,11,6,5,5,4,5,6,34,7,12,31,5,43,8,7,13,5,5,42,4,5,36,36,5,11,7,12,9,7,6,21,5,22,4,15,3,10,24,4,16,5,7,24,6,0,10,15,0,6,28,16,26,26,50,13,32,5,12,19,40,12,13,21,22
55,32,5,10,5,5,10,32,3,14,1,10,5,5,6,6,4,31,4,8,28,6,40,4,4,10,5,5,52,6,5,30,32,6,4,4,8,1,4,7,14,5,14,8,6,12,6,20,6,7,5,13,14,9,10,0,6,10,4,20,6,16,16,46,12,27,6,2,16,37,8,9,16,18
56,32,11,14,10,10,14,31,3,8,5,14,10,10,11,11,9,31,9,10,29,10,39,7,8,11,10,10,56,11,10,32,34,10,5,8,9,6,8,12,15,10,9,12,5,18,8,22,11,6,10,19,10,14,15,6,0,14,10,15,3,11,11,48,11,30,11,4,18,37,10,10,17,18
57,34,4,6,5,5,0,35,12,24,10,6,5,5,4,5,6,33,7,12,34,5,44,8,7,14,5,5,43,4,5,35,38,5,10,7,12,9,7,6,22,4,23,4,16,3,10,25,4,16,5,7,25,6,0,10,14,0,6,28,15,25,26,52,12,32,5,12,20,42,13,12,19,21
58,30,2,10,1,1,6,31,7,19,6,10,1,1,2,1,2,32,3,8,28,1,36,4,3,9,1,1,49,4,1,31,32,1,6,3,8,4,3,4,16,1,18,8,11,8,6,20,2,11,1,9,20,10,6,4,10,6,0,22,10,19,20,46,12,26,2,6,16,34,8,8,16,17
59,39,26,29,25,26,29,40,18,6,18,27,26,25,26,24,22,38,22,17,38,25,45,21,22,26,25,24,73,25,25,38,40,24,18,22,17,21,23,28,21,24,12,25,14,33,22,28,25,13,24,33,5,27,28,20,15,28,22,0,14,4,3,54,16,36,25,17,25,43,22,24,25,25
60,36,11,14,10,10,15,36,3,9,5,14,11,11,12,10,10,33,9,12,31,11,42,8,9,13,10,11,60,12,11,36,38,11,5,9,12,6,9,12,17,11,8,12,2,18,10,24,12,8,10,18,10,14,16,6,3,15,10,14,0,11,12,52,8,32,10,4,19,42,12,12,20,22
61,38,21,24,20,22,25,40,14,2,16,25,20,20,21,22,20,38,18,17,36,21,47,17,20,23,21,20,69,23,21,40,44,22,15,20,17,16,19,24,22,22,12,23,10,29,18,30,20,14,21,30,4,24,26,16,11,25,19,4,11,0,1,57,13,37,21,14,24,44,17,19,26,27
62,40,22,25,22,20,26,40,14,3,15,26,21,21,23,22,20,42,20,18,39,22,50,18,19,23,20,21,69,22,20,40,42,21,16,20,18,18,20,23,23,22,13,23,11,28,19,30,22,14,21,28,5,26,26,16,11,26,20,3,12,1,0,60,13,38,22,14,26,44,19,19,26,27
63,22,50,55,48,45,50,23,49,54,48,58,46,45,46,46,45,22,44,41,21,46,16,46,44,38,47,47,81,52,48,22,15,48,53,43,39,46,43,44,35,46,44,55,51,53,42,28,48,42,48,45,54,58,50,46,48,52,46,54,52,57,60,0,59,22,48,48,31,12,40,38,32,30
64,43,12,11,12,12,13,41,10,12,13,11,12,12,12,12,13,42,15,20,39,12,51,16,15,21,12,12,58,10,13,44,45,12,8,14,19,13,14,14,24,11,15,9,6,14,16,31,12,16,12,16,12,11,13,12,11,12,12,16,8,13,13,59,0,38,13,10,28,45,21,19,29,30
65,4,27,36,26,28,32,4,28,37,25,37,26,27,28,27,25,4,24,20,2,27,12,24,24,19,28,28,60,30,26,4,9,26,32,26,19,26,25,25,17,26,25,34,34,31,21,13,28,23,28,25,32,35,32,27,30,32,26,36,32,37,38,22,38,0,27,29,12,10,20,19,11,11
66,30,1,10,1,1,5,30,8,19,6,10,1,1,1,1,2,30,3,8,29,1,37,4,3,8,1,1,48,4,1,31,33,1,6,2,8,5,3,2,17,1,20,8,12,7,5,20,1,13,1,8,20,10,5,6,11,5,2,25,10,21,22,48,13,27,0,7,16,36,8,8,15,16
67,34,7,11,7,7,12,32,1,12,3,11,7,7,8,7,6,33,5,10,30,7,40,6,5,12,7,7,54,8,8,32,36,7,2,6,10,3,5,10,15,8,12,9,4,14,8,23,8,6,7,15,12,10,12,2,4,12,6,17,4,14,14,48,10,29,7,0,17,38,10,10,19,19
68,15,16,24,16,15,20,15,17,25,15,25,15,16,16,15,14,15,12,8,14,15,22,13,12,7,16,15,52,19,14,16,17,15,19,13,8,15,13,13,12,15,14,24,22,19,10,8,16,12,16,13,20,24,19,16,18,20,16,25,19,24,26,31,28,12,16,17,0,20,8,8,4,2
69,12,36,45,36,37,40,12,38,42,37,47,36,37,38,35,36,13,34,28,11,36,6,34,34,27,37,37,70,38,36,12,4,36,41,34,28,36,34,32,24,34,34,45,42,39,30,16,37,32,35,32,43,48,40,37,37,42,34,43,42,44,44,12,45,10,36,38,20,0,29,27,21,19
70,24,8,18,8,8,12,24,10,17,8,19,8,8,9,9,7,22,6,5,20,8,29,5,6,4,8,8,52,11,8,24,25,8,12,6,4,8,6,7,14,9,16,15,15,13,4,12,9,9,8,12,16,18,12,8,10,13,8,22,12,17,19,40,21,20,8,10,8,29,0,2,8,8
71,22,8,17,8,8,12,23,10,18,8,18,8,8,9,8,7,23,6,6,20,8,29,5,6,3,8,8,51,12,8,24,24,8,12,6,6,8,5,7,15,8,17,16,14,13,3,12,9,11,8,10,19,18,13,9,10,12,8,24,12,19,19,38,19,19,8,10,8,27,2,0,8,9
72,15,16,25,15,16,20,15,18,24,15,24,16,16,16,16,14,15,13,8,13,16,22,12,14,9,17,15,56,19,15,16,17,16,20,14,9,15,14,14,9,16,13,23,22,19,10,5,16,12,16,16,21,26,21,16,17,19,16,25,20,26,26,32,29,11,15,19,4,21,8,8,0,6
73,14,18,25,17,16,21,15,19,26,17,28,17,17,18,17,16,15,14,10,11,16,20,14,14,8,17,16,54,21,16,14,16,17,20,14,10,16,14,14,14,17,17,25,24,21,12,10,18,12,16,15,22,28,22,18,18,21,17,25,22,27,27,30,30,11,16,19,2,19,8,9,6,0
