Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
18,4,6,3,1,6,4,9,3,4,4,5,1,3,6,3,1,9,0,3,2,9,4,4,9,2,1,9,13,5,2,4,9,6,9,9,11,2,1,3,3,6,10,5,1,8,10,7,3,4,10,8,6,8,2,4,6,16,8,16,15,2,5,3,3,4,1,2,3,10,6,8
19,2,8,1,4,3,1,6,2,2,2,4,3,4,4,1,3,6,3,0,3,7,4,3,7,3,3,6,11,4,3,1,6,9,7,9,8,2,3,2,1,8,7,4,2,6,6,6,2,1,7,5,6,6,3,2,4,14,6,14,12,2,7,4,1,4,4,3,2,8,3,8
20,5,4,3,2,6,3,8,2,5,4,6,2,4,7,2,2,7,2,3,0,8,2,3,8,1,2,8,12,4,3,3,8,8,7,7,9,4,2,4,2,8,8,4,2,7,8,6,4,4,8,7,4,7,1,5,6,15,8,15,12,4,4,4,4,5,2,4,4,8,4,7
21,5,11,6,10,4,6,1,7,6,7,5,10,10,3,7,10,1,9,7,8,0,8,6,1,8,9,1,4,8,10,6,1,16,1,12,1,9,10,9,7,14,1,8,9,10,1,10,9,6,1,2,10,1,8,7,4,7,1,7,6,9,10,11,7,9,10,9,9,1,4,11
22,5,4,4,4,6,3,7,2,5,5,7,4,4,7,3,4,8,4,4,2,8,0,1,7,2,4,8,10,2,4,4,7,10,7,6,7,4,4,4,3,9,7,2,3,5,7,4,5,4,7,8,2,7,2,6,7,14,8,13,12,4,3,5,4,6,4,5,5,7,3,5
23,4,5,3,5,6,2,6,2,4,4,6,5,5,6,2,5,6,4,3,3,6,1,0,6,3,4,6,9,2,5,2,6,11,6,6,6,4,5,4,2,10,7,2,4,4,6,4,4,3,6,6,3,6,3,4,6,12,6,12,10,4,4,6,3,5,5,4,4,6,2,5
24,6,11,6,9,4,6,1,6,5,7,5,10,10,3,6,10,1,9,7,8,1,7,6,0,8,9,1,5,8,10,6,1,16,1,12,2,9,9,8,7,14,1,8,9,10,1,10,8,6,1,2,10,1,8,7,3,8,1,8,6,8,10,10,7,10,10,9,9,2,4,11
25,4,5,3,2,6,2,8,2,4,4,6,2,3,7,2,2,8,2,3,1,8,2,3,8,0,1,8,12,4,2,2,8,8,8,7,9,3,2,3,2,7,8,4,1,7,8,6,4,3,8,6,5,8,1,4,6,15,8,16,13,3,4,3,3,4,2,3,4,9,5,7
26,4,5,3,2,5,4,9,3,4,4,6,2,3,6,2,2,8,1,3,2,9,4,4,9,1,0,8,13,5,2,4,9,8,9,8,10,3,2,3,2,6,10,4,1,8,9,7,4,3,9,7,6,8,2,4,6,16,8,16,14,3,5,3,3,4,1,3,3,10,6,8
27,6,11,6,10,4,6,1,6,6,7,5,10,10,3,7,9,1,9,6,8,1,8,6,1,8,8,0,5,9,10,6,1,16,1,12,2,9,10,9,7,15,1,8,9,10,1,10,8,6,1,2,10,1,8,7,3,8,1,8,5,9,10,10,7,9,10,9,9,2,4,11
28,10,12,11,13,8,10,5,10,9,11,9,14,14,8,10,14,5,13,11,12,4,10,9,5,12,13,5,0,9,14,11,5,20,5,14,4,13,14,12,12,20,4,9,13,11,4,11,13,10,4,6,11,5,12,11,8,4,5,3,1,13,12,14,12,14,14,14,13,4,8,12
29,6,3,5,6,7,4,8,2,6,6,8,5,6,8,4,6,8,5,4,4,8,2,2,8,4,5,9,9,0,5,4,8,11,8,4,8,5,5,5,4,11,8,1,5,4,8,3,6,5,8,8,1,8,3,6,8,12,8,12,10,5,2,6,5,6,5,6,6,8,4,4
30,4,7,4,1,6,4,9,4,5,3,5,1,1,6,3,1,9,2,3,3,10,4,5,10,2,2,10,14,5,0,4,9,6,9,9,11,1,1,2,3,5,11,5,2,10,10,8,2,4,9,8,6,9,3,3,7,17,10,17,15,1,6,2,3,2,2,2,2,10,6,8
31,2,7,1,4,4,1,6,2,2,2,4,4,4,4,1,4,6,4,1,3,6,4,2,6,2,4,6,11,4,4,0,6,10,6,8,7,3,4,3,1,9,7,4,4,6,6,6,3,1,6,4,5,6,3,2,4,14,6,13,11,3,6,5,2,4,4,4,3,7,2,7
32,6,10,6,9,4,6,1,6,5,7,5,10,10,3,6,10,1,9,6,8,1,7,6,1,8,9,1,5,8,9,6,0,16,1,13,2,8,10,8,7,14,1,8,9,10,1,10,8,6,1,2,9,1,8,7,3,8,1,8,6,9,10,10,7,10,10,9,9,2,4,10
33,11,11,10,7,13,10,16,9,11,9,11,7,6,13,9,6,16,6,9,8,16,10,11,16,8,8,16,20,11,6,10,16,0,16,14,16,7,7,8,10,1,16,11,7,16,15,14,8,10,15,14,12,15,8,9,13,23,15,24,20,7,12,5,9,6,6,7,7,17,12,14
34,5,11,6,10,4,5,1,6,5,6,5,9,10,3,6,10,1,9,7,7,1,7,6,1,8,9,1,5,8,9,6,1,16,0,12,2,8,10,9,7,15,2,7,9,10,1,9,8,6,1,2,8,1,8,7,3,8,1,8,6,8,9,11,7,9,9,9,9,2,4,11
35,10,6,8,9,11,8,12,6,10,10,11,9,10,12,8,9,12,9,9,7,12,6,6,12,7,8,12,14,4,9,8,13,14,12,0,12,9,9,9,8,14,13,5,8,2,12,3,10,9,12,12,3,12,8,10,12,13,12,14,14,9,4,10,9,10,9,9,10,12,8,2
36,6,10,7,11,5,7,2,7,6,8,6,11,11,4,8,10,2,11,8,9,1,7,6,2,9,10,2,4,8,11,7,2,16,2,12,0,10,10,10,8,16,1,8,10,10,2,9,10,7,1,4,9,2,9,8,4,7,2,7,4,10,10,12,8,11,10,10,10,1,5,11
37,4,8,3,2,5,3,8,3,4,2,4,2,2,6,2,2,8,2,2,4,9,4,4,9,3,3,9,13,5,1,3,8,7,8,9,10,0,2,1,2,6,9,5,3,8,9,6,1,3,9,7,6,8,4,2,6,17,9,17,14,1,7,2,2,2,3,1,1,10,6,8
38,4,7,4,1,6,4,9,4,4,3,5,1,2,6,3,1,10,1,3,2,10,4,5,9,2,2,10,14,5,1,4,10,7,10,9,10,2,0,2,3,6,10,5,2,9,10,8,2,4,9,7,6,9,2,3,7,17,10,16,15,2,6,2,3,3,2,2,2,11,6,8
39,4,8,3,2,6,3,9,3,4,2,4,2,2,6,2,2,8,3,2,4,9,4,4,8,3,3,9,12,5,2,3,8,8,9,9,10,1,2,0,2,6,9,5,3,8,9,7,1,3,9,6,6,8,4,2,6,16,8,15,14,1,7,2,2,2,3,1,1,10,6,8
40,3,6,1,3,4,1,6,2,2,2,4,3,4,5,1,3,6,3,1,2,7,3,2,7,2,2,7,12,4,3,1,7,10,7,8,8,2,3,2,0,8,7,4,2,6,6,5,2,2,7,5,5,6,2,3,5,15,6,14,12,2,6,4,2,3,3,2,2,8,4,6
41,10,11,9,6,12,10,14,9,10,8,10,6,5,12,8,6,15,6,8,8,14,9,10,14,7,6,15,20,11,5,9,14,1,15,14,16,6,6,6,8,0,16,11,6,14,14,12,7,9,15,13,11,14,7,8,12,23,15,21,20,7,11,4,8,6,6,6,6,16,12,13
42,6,10,7,10,5,7,2,7,6,8,6,10,11,4,7,10,2,10,7,8,1,7,7,1,8,10,1,4,8,11,7,1,16,2,13,1,9,10,9,7,16,0,8,9,11,1,10,9,7,1,3,10,2,8,8,4,7,2,7,5,10,10,11,8,10,11,10,10,1,4,11
43,6,3,4,6,7,4,8,2,6,6,8,5,6,8,4,5,8,5,4,4,8,2,2,8,4,4,8,9,1,5,4,8,11,7,5,8,5,5,5,4,11,8,0,5,4,8,3,6,5,8,8,2,8,4,6,8,12,8,12,10,5,2,6,5,6,6,5,5,8,4,3
44,4,5,3,2,5,4,9,3,4,4,6,2,3,6,2,2,9,1,2,2,9,3,4,9,1,1,9,13,5,2,4,9,7,9,8,10,3,2,3,2,6,9,5,0,9,8,7,4,3,9,7,5,8,2,4,6,16,8,16,14,3,5,3,3,4,1,3,3,10,6,8
45,8,7,7,9,10,6,10,6,8,8,10,9,10,10,6,9,10,8,6,7,10,5,4,10,7,8,10,11,4,10,6,10,16,10,2,10,8,9,8,6,14,11,4,9,0,11,2,8,7,10,10,3,10,7,8,10,11,10,12,12,8,4,10,7,10,9,8,9,10,6,1
46,5,11,6,9,4,6,1,6,5,7,5,10,10,3,7,9,1,10,6,8,1,7,6,1,8,9,1,4,8,10,6,1,15,1,12,2,9,10,9,6,14,1,8,8,11,0,10,8,6,1,2,9,1,8,7,3,8,1,8,6,8,10,11,7,10,9,9,9,2,4,11
47,8,5,6,8,9,6,9,4,7,8,9,8,8,10,6,8,10,7,6,6,10,4,4,10,6,7,10,11,3,8,6,10,14,9,3,9,6,8,7,5,12,10,3,7,2,10,0,7,6,10,10,2,10,6,8,10,11,10,11,11,7,2,9,7,8,8,7,7,10,6,2
48,3,9,2,2,5,3,8,4,3,2,4,2,2,6,2,2,8,3,2,4,9,5,4,8,4,4,8,13,6,2,3,8,8,8,10,10,1,2,1,2,7,9,6,4,8,8,7,0,3,8,6,7,8,4,2,6,16,8,16,13,1,8,3,2,2,4,1,1,9,5,9
49,2,8,1,4,3,1,6,3,1,2,3,4,4,4,2,4,6,4,1,4,6,4,3,6,3,3,6,10,5,4,1,6,10,6,9,7,3,4,3,2,9,7,5,3,7,6,6,3,0,6,4,6,6,4,2,4,13,6,13,11,3,7,5,2,4,4,3,3,7,3,8
50,6,11,6,9,4,6,1,7,6,8,5,10,10,3,7,10,1,10,7,8,1,7,6,1,8,9,1,4,8,9,6,1,15,1,12,1,9,9,9,7,15,1,8,9,10,1,10,8,6,0,2,9,1,8,7,3,8,1,8,6,9,10,10,7,10,10,9,9,1,4,10
51,4,10,4,8,2,4,2,6,4,5,3,8,8,1,5,7,2,8,5,7,2,8,6,2,6,7,2,6,8,8,4,2,14,2,12,4,7,7,6,5,13,3,8,7,10,2,10,6,4,2,0,9,2,6,5,1,10,2,9,7,7,10,9,5,8,8,7,7,4,4,11
52,7,4,6,6,8,5,9,3,7,7,9,6,7,10,5,6,9,6,6,4,10,2,3,10,5,6,10,11,1,6,5,9,12,8,3,9,6,6,6,5,11,10,2,5,3,9,2,7,6,9,9,0,9,5,8,9,11,9,11,10,6,2,7,6,7,6,6,6,9,5,2
53,5,10,6,9,3,6,1,6,5,7,5,9,10,3,6,10,1,8,6,7,1,7,6,1,8,8,1,5,8,9,6,1,15,1,12,2,8,9,8,6,14,2,8,8,10,1,10,8,6,1,2,9,0,8,7,3,8,1,8,6,8,10,10,6,9,9,9,8,2,4,11
54,5,4,3,2,6,3,8,2,5,5,6,2,4,7,2,2,7,2,3,1,8,2,3,8,1,2,8,12,3,3,3,8,8,8,8,9,4,2,4,2,7,8,4,2,7,8,6,4,4,8,6,5,8,0,4,6,16,8,15,12,4,4,4,4,5,2,4,4,9,5,7
55,2,8,2,3,4,2,6,4,2,1,2,3,4,4,3,3,7,4,2,5,7,6,4,7,4,4,7,11,6,3,2,7,9,7,10,8,2,3,2,3,8,8,6,4,8,7,8,2,2,7,5,8,7,4,0,4,14,7,14,12,2,8,4,2,3,4,2,2,8,4,9
56,3,11,4,7,1,4,3,6,2,4,2,7,7,1,4,7,3,6,4,6,4,7,6,3,6,6,3,8,8,7,4,3,13,3,12,4,6,7,6,5,12,4,8,6,10,3,10,6,4,3,1,9,3,6,4,0,10,3,10,9,6,10,8,4,7,7,6,6,4,4,11
57,12,15,13,17,11,14,8,14,12,14,12,17,17,10,14,17,8,16,14,15,7,14,12,8,15,16,8,4,12,17,14,8,23,8,13,7,17,17,16,15,23,7,12,16,11,8,11,16,13,8,10,11,8,16,14,10,0,8,1,3,17,12,18,15,17,16,17,17,7,12,12
58,5,11,6,9,4,6,1,6,5,7,5,9,9,3,6,9,1,8,6,8,1,8,6,1,8,8,1,5,8,10,6,1,15,1,12,2,9,10,8,6,15,2,8,8,10,1,10,8,6,1,2,9,1,8,7,3,8,0,8,6,8,10,10,7,9,10,9,9,2,4,11
59,13,14,14,18,11,13,8,14,13,14,12,16,18,11,14,16,8,16,14,15,7,13,12,8,16,16,8,3,12,17,13,8,24,8,14,7,17,16,15,14,21,7,12,16,12,8,11,16,13,8,9,11,8,15,14,10,1,8,0,2,16,12,18,14,17,17,16,16,6,11,12
60,10,13,11,15,9,11,6,11,11,12,10,15,14,9,12,15,6,15,12,12,6,12,10,6,13,14,5,1,10,15,11,6,20,6,14,4,14,15,14,12,20,5,10,14,12,6,11,13,11,6,7,10,6,12,12,9,3,6,2,0,14,11,16,12,15,15,14,14,4,8,13
61,4,7,3,2,6,3,9,3,4,2,4,2,2,6,2,2,8,2,2,4,9,4,4,8,3,3,9,13,5,1,3,9,7,8,9,10,1,2,1,2,7,10,5,3,8,8,7,1,3,9,7,6,8,4,2,6,17,8,16,14,0,7,2,2,2,3,1,1,10,6,8
62,8,3,6,6,10,6,10,4,8,8,10,6,7,10,6,6,10,5,7,4,10,3,4,10,4,5,10,12,2,6,6,10,12,9,4,10,7,6,7,6,11,10,2,5,4,10,2,8,7,10,10,2,10,4,8,10,12,10,12,11,7,0,7,7,8,6,7,8,10,6,3
63,6,8,4,2,8,5,10,5,6,4,6,2,1,8,4,2,10,3,4,4,11,5,6,10,3,3,10,14,6,2,5,10,5,11,10,12,2,2,2,4,4,11,6,3,10,11,9,3,5,10,9,7,10,4,4,8,18,10,18,16,2,7,0,4,1,3,2,2,11,7,10
64,2,8,1,3,4,2,7,3,2,2,3,3,3,4,2,3,7,3,1,4,7,4,3,7,3,3,7,12,5,3,2,7,9,7,9,8,2,3,2,2,8,8,5,3,7,7,7,2,2,7,5,6,6,4,2,4,15,7,14,12,2,7,4,0,3,3,2,2,8,4,8
65,5,9,4,3,6,4,9,4,5,3,5,3,1,7,3,3,9,4,4,5,9,6,5,10,4,4,9,14,6,2,4,10,6,9,10,11,2,3,2,3,6,10,6,4,10,10,8,2,4,10,8,7,9,5,3,7,17,9,17,15,2,8,1,3,0,4,1,1,11,6,9
66,5,6,4,2,6,4,9,4,5,4,6,2,3,7,4,2,9,1,4,2,10,4,5,10,2,1,10,14,5,2,4,10,6,9,9,10,3,2,3,3,6,11,6,1,9,9,8,4,4,10,8,6,9,2,4,7,16,10,17,15,3,6,3,3,4,0,3,3,11,6,8
67,4,8,3,2,6,4,8,3,4,2,4,2,2,6,3,2,9,2,3,4,9,5,4,9,3,3,9,14,6,2,4,9,7,9,9,10,1,2,1,2,6,10,5,3,8,9,7,1,3,9,7,6,9,4,2,6,17,9,16,14,1,7,2,2,1,3,0,1,10,6,8
68,4,8,3,2,6,3,9,4,4,2,4,2,2,6,2,2,8,3,2,4,9,5,4,9,4,3,9,13,6,2,3,9,7,9,10,10,1,2,1,2,6,10,5,3,9,9,7,1,3,9,7,6,8,4,2,6,17,9,16,14,1,8,2,2,1,3,1,0,10,6,8
69,7,10,8,11,5,7,2,8,7,8,6,11,11,4,8,11,2,10,8,8,1,7,6,2,9,10,2,4,8,10,7,2,17,2,12,1,10,11,10,8,16,1,8,10,10,2,10,9,7,1,4,9,2,9,8,4,7,2,6,4,10,10,11,8,11,11,10,10,0,5,10
70,2,7,3,6,4,3,4,3,2,4,4,6,7,4,4,6,4,6,3,4,4,3,2,4,5,6,4,8,4,6,2,4,12,4,8,5,6,6,6,4,12,4,4,6,6,4,6,5,3,4,4,5,4,5,4,4,12,4,11,8,6,6,7,4,6,6,6,6,5,0,7
71,9,6,7,8,10,7,11,5,9,8,10,8,9,11,7,8,11,8,8,7,11,5,5,11,7,8,11,12,4,8,7,10,14,11,2,11,8,8,8,6,13,11,3,8,1,11,2,9,8,10,11,2,11,7,9,11,12,11,12,13,8,3,10,8,9,8,8,8,10,7,0
