Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
11,11,10,8,7,1,7,14,10,6,9,0,12,6,9,7,7,12,12,6,1,1,8,6,2,7,7,8,21,11,9,9,16,6,8,7,8,8,20,19,9,8,2,1,4,9,8,6,10,3,13,19,8,6,6,10,10,10,7,10,2,14,3,5,9,9,8,8,9,18,4,14,8,22,8,18,4,8,4,18,6,14,9,17,16,14,15,13,7,11,9,9,9,11,5,14,14,6,16,11,13,6,14,5,14,8,14,4,8,5,7,8,4,6,13,7,5,14,12,5,4,8,13,20,13,16,9,13,9,12,6,6,14,11,7,18,6,15,3,9,15,12,17,12,8,12
12,17,20,10,18,12,12,3,11,16,12,12,0,18,21,6,12,23,14,17,12,12,18,18,14,12,15,20,9,14,20,3,28,16,20,13,3,20,9,7,4,4,13,12,13,4,4,17,9,14,25,16,5,13,17,16,20,12,18,17,13,15,15,16,21,19,19,4,21,17,16,17,20,20,3,28,16,7,16,15,18,3,18,6,9,2,4,10,18,10,20,12,12,8,11,16,26,7,4,9,24,16,12,7,24,10,5,15,19,17,12,11,12,18,24,18,8,5,14,12,15,6,11,18,24,4,19,25,5,23,13,17,3,1,7,7,18,3,9,10,12,24,20,23,4,23
13,8,4,8,1,6,11,21,13,2,14,6,18,0,4,12,6,6,15,1,6,7,4,1,5,11,4,2,26,7,4,15,11,1,2,6,14,2,25,26,14,15,5,5,4,14,13,1,10,3,7,16,14,9,1,6,3,14,1,7,5,11,3,2,3,5,2,14,4,15,3,18,3,19,14,10,3,11,3,14,1,20,6,24,22,19,20,20,2,16,3,13,14,9,8,18,7,11,23,10,7,2,11,10,8,8,20,4,2,2,6,11,8,1,8,4,10,21,16,8,3,14,18,16,6,22,6,7,16,7,5,4,20,18,11,24,1,21,9,7,11,6,21,7,14,7
14,8,2,11,3,9,11,23,14,4,17,9,21,4,0,16,9,3,15,4,9,10,4,4,7,11,6,2,28,7,1,17,8,4,2,9,17,2,29,29,17,18,8,9,8,17,17,3,12,7,4,15,18,9,4,6,1,13,3,6,8,11,6,5,2,5,2,18,1,16,6,18,2,18,17,8,6,14,6,14,3,22,5,26,24,23,25,22,2,21,1,16,17,13,10,19,5,15,26,13,4,5,14,14,5,12,24,7,2,4,8,12,10,3,4,3,14,24,16,9,6,16,20,16,3,24,5,6,19,4,8,4,22,21,14,28,4,25,12,11,15,3,22,4,17,3
15,14,15,10,13,7,7,8,8,11,7,7,6,12,16,0,9,18,9,12,8,6,13,12,8,7,10,14,14,13,15,3,24,13,14,10,3,14,14,12,3,3,8,8,8,3,3,12,14,10,19,21,10,7,12,12,16,8,12,12,8,17,10,12,16,14,14,2,16,21,10,12,14,24,3,22,10,10,10,20,12,8,14,11,14,7,9,7,13,5,16,7,7,14,6,12,20,8,10,14,18,11,18,8,20,10,10,9,14,11,10,6,6,12,19,13,8,10,10,8,10,11,15,21,18,9,14,18,10,19,8,12,8,5,10,12,12,9,4,12,17,18,16,18,9,18
16,5,8,3,6,7,14,16,16,4,16,7,12,6,9,9,0,12,19,5,7,7,6,6,7,14,4,7,22,4,9,9,16,6,8,1,10,7,21,20,9,9,6,7,3,9,8,6,4,6,12,13,9,12,6,4,8,16,6,5,6,7,6,5,8,7,7,9,9,12,7,21,7,15,9,16,6,6,6,11,6,14,7,17,16,14,15,14,7,14,9,17,17,4,12,22,13,6,16,4,11,4,8,6,14,3,15,4,7,5,1,14,11,6,13,7,5,15,19,12,6,8,14,12,11,16,7,12,10,12,2,7,16,11,5,19,5,15,5,2,8,12,25,12,9,11
17,7,3,14,6,12,12,27,15,7,20,12,23,6,3,18,12,0,18,7,11,12,6,6,10,12,8,5,32,9,3,20,5,6,5,12,20,4,32,32,20,21,11,11,10,20,20,6,14,9,3,18,20,12,6,8,3,15,6,7,11,9,9,8,4,5,5,20,3,19,8,20,5,17,20,6,8,17,8,14,6,25,5,28,28,26,28,26,5,22,3,20,19,16,12,20,2,17,26,15,2,8,16,16,4,13,27,10,5,7,12,12,12,6,4,5,16,26,18,11,8,20,23,18,2,28,5,5,22,2,11,6,25,23,17,30,7,27,15,14,18,2,23,2,20,1
18,23,17,18,14,12,6,11,5,17,2,12,14,15,15,9,19,18,0,16,12,12,20,15,12,6,18,14,16,23,15,12,22,15,15,18,12,14,14,12,12,12,13,12,15,12,11,15,21,12,19,29,18,7,16,21,16,4,14,22,12,26,12,14,17,21,14,10,16,31,12,7,18,34,12,22,13,18,12,30,16,12,20,13,23,14,10,8,16,5,14,2,2,22,7,10,19,17,11,23,18,16,26,16,19,19,18,15,15,15,18,6,7,16,20,19,17,19,1,7,12,20,25,32,18,12,19,22,18,18,16,12,15,13,18,15,14,12,13,21,27,17,7,18,17,18
19,7,4,8,1,6,12,20,14,2,14,6,17,1,4,12,5,7,16,0,5,6,4,1,4,11,2,2,26,6,4,14,11,1,2,5,14,3,25,25,14,15,4,4,4,14,13,1,9,4,7,14,14,10,1,6,4,15,1,6,4,10,4,2,3,4,2,14,4,14,4,19,2,17,14,11,4,10,4,14,1,19,4,21,22,20,21,19,2,16,4,13,14,8,9,18,8,11,22,9,7,2,10,10,8,7,20,3,2,1,5,12,9,1,9,3,9,20,17,9,4,14,18,15,6,22,4,7,15,8,4,4,20,16,10,24,2,20,8,7,11,7,22,7,14,7
20,12,8,8,6,1,7,15,10,6,10,1,12,6,9,8,7,11,12,5,0,2,8,6,1,7,7,7,21,11,9,9,16,5,7,7,10,7,22,19,10,10,1,1,4,9,8,6,11,3,12,20,9,6,6,10,9,10,6,10,1,14,2,4,8,8,7,9,8,18,4,15,7,22,9,15,4,8,4,18,6,14,9,18,16,15,16,15,6,12,8,10,9,11,5,15,13,6,17,11,11,5,15,6,12,8,16,4,7,4,7,8,5,6,13,7,5,15,12,5,3,8,14,20,11,17,8,12,10,12,6,6,16,12,7,20,5,16,4,9,15,12,18,11,10,12
21,12,10,8,7,1,7,15,10,6,10,1,12,7,10,6,7,12,12,6,2,0,8,6,3,7,6,8,21,11,10,8,16,6,8,7,8,9,19,19,8,8,2,2,4,9,7,7,11,4,13,20,8,6,7,10,10,10,7,11,2,15,4,6,9,9,8,8,10,19,5,14,8,22,8,17,5,8,5,18,7,13,9,17,15,13,14,14,8,11,10,9,9,11,5,14,14,6,15,11,13,5,14,6,14,8,16,4,8,6,8,8,5,7,14,8,5,14,12,5,4,9,12,20,13,15,9,13,9,14,6,7,14,11,7,18,6,15,3,9,15,13,18,14,8,13
22,4,3,8,4,8,15,21,16,2,18,8,18,4,4,13,6,6,20,4,8,8,0,4,8,14,2,5,26,4,4,14,10,4,4,6,16,5,26,24,15,14,7,8,5,15,13,4,10,8,6,12,15,13,4,3,4,17,4,3,7,7,7,6,3,1,5,15,4,13,8,22,2,15,14,11,7,11,7,10,5,20,2,24,21,20,20,19,3,18,4,18,17,9,12,22,8,12,23,9,6,3,11,11,8,8,22,4,4,4,6,15,12,4,8,1,10,20,20,13,7,14,18,12,6,22,1,6,16,7,5,8,20,16,12,26,5,21,9,8,11,6,25,7,15,6
23,8,4,8,1,6,11,21,13,2,13,6,18,1,4,12,6,6,15,1,6,6,4,0,4,11,3,2,27,7,3,15,11,1,2,6,15,2,26,25,15,14,5,6,4,14,14,1,9,4,7,15,14,9,1,6,3,14,1,6,5,10,4,2,3,5,2,14,3,15,4,18,3,19,15,10,4,12,4,14,1,21,5,22,22,19,20,19,2,17,3,13,13,10,8,18,8,11,21,10,7,2,11,11,7,8,21,4,2,2,6,11,9,1,8,3,10,21,16,9,4,14,19,16,6,21,5,6,16,7,5,4,21,17,11,26,1,21,9,7,11,7,21,6,14,6
24,12,8,8,5,2,8,17,10,6,10,2,14,5,7,8,7,10,12,4,1,3,8,4,0,8,6,6,22,10,8,10,14,4,6,7,11,6,23,20,10,10,1,1,4,11,10,5,11,2,11,19,10,6,4,10,8,10,4,10,1,14,2,3,7,9,6,10,8,18,2,15,6,22,10,15,2,8,2,18,4,16,9,18,18,15,17,16,6,12,8,10,10,10,5,14,12,6,18,11,10,5,15,6,12,8,18,4,6,4,7,8,5,4,12,7,6,16,12,5,2,10,14,20,11,17,8,11,11,11,6,5,16,13,7,20,4,16,5,9,15,11,18,11,10,11
25,18,12,15,11,8,1,15,3,12,8,7,12,11,11,7,14,12,6,11,7,7,14,11,8,0,14,11,21,17,11,9,16,12,11,14,9,10,21,18,9,9,8,7,11,8,8,10,17,8,15,27,14,2,11,17,11,3,10,18,8,22,8,10,12,16,10,8,11,25,8,8,13,27,9,16,8,15,8,24,11,14,16,16,18,14,16,14,12,12,10,8,8,18,3,8,14,12,16,17,14,12,21,12,15,15,16,10,10,10,14,1,3,10,15,14,12,15,6,3,8,16,20,25,13,16,16,17,14,13,12,7,14,10,14,18,10,15,9,16,22,14,11,13,12,13
26,5,6,6,3,6,14,18,16,1,16,7,15,4,6,10,4,8,18,2,7,6,2,3,6,14,0,4,25,4,5,12,12,3,4,4,13,4,24,23,12,12,6,7,3,12,11,3,8,6,8,13,12,12,3,4,5,16,3,4,6,8,6,4,5,4,4,12,5,12,6,21,4,16,13,13,6,9,6,11,4,18,3,22,19,17,19,17,4,15,6,16,16,7,11,22,10,9,20,8,8,2,9,9,10,6,19,3,4,3,4,14,11,3,10,4,8,18,18,11,6,12,16,13,8,20,4,9,14,9,3,6,19,15,9,22,4,20,7,5,9,8,25,8,13,9
27,8,2,10,2,8,10,22,13,3,16,8,20,2,2,14,7,5,14,2,7,8,5,2,6,11,4,0,28,8,2,16,9,2,1,7,16,1,28,25,16,16,6,7,6,16,15,2,10,5,5,16,16,9,2,7,2,14,2,7,6,11,5,3,2,6,1,16,2,15,4,18,3,18,16,9,4,13,4,15,2,22,6,24,23,22,21,22,2,19,2,15,15,10,8,18,6,13,23,11,5,4,13,13,6,10,24,6,1,3,7,11,8,2,6,4,12,22,16,8,4,15,19,16,5,24,6,7,17,5,6,4,23,19,13,26,2,21,10,8,13,5,20,5,15,5
28,25,30,20,28,21,21,7,20,26,14,21,9,26,28,14,22,32,16,26,21,21,26,27,22,21,25,28,0,23,30,12,36,27,29,21,12,28,2,7,12,12,22,22,23,12,14,27,17,24,33,16,13,22,27,23,31,20,27,26,23,24,24,25,28,28,27,12,30,14,25,22,28,18,12,37,24,15,24,19,26,7,29,4,6,8,7,12,28,12,29,14,14,18,20,25,35,15,6,18,31,26,15,15,34,19,6,23,28,26,22,20,20,27,35,29,17,7,18,22,25,13,8,16,34,6,28,31,11,31,22,28,7,10,16,2,26,6,18,20,16,33,24,32,13,31
29,2,6,5,7,11,17,17,20,5,20,11,14,7,7,13,4,9,23,6,11,11,4,7,10,17,4,8,23,0,7,12,13,7,7,4,11,8,24,21,12,12,10,11,7,12,11,7,6,10,10,9,11,16,7,1,7,20,7,2,10,4,10,8,6,4,8,12,7,10,10,24,5,12,12,14,10,8,10,7,8,17,4,20,18,17,18,18,6,18,8,20,21,6,15,26,10,8,19,6,10,6,8,8,11,5,18,7,7,7,4,18,15,7,11,4,7,17,23,16,11,10,15,9,9,19,4,10,12,9,5,10,18,13,8,22,8,17,10,4,8,10,28,9,11,9
30,8,2,11,3,9,10,23,13,5,17,9,20,4,1,15,9,3,15,4,9,10,4,3,8,11,5,2,30,7,0,18,8,4,2,9,18,1,30,28,18,18,8,8,8,17,16,3,12,6,5,16,17,10,3,6,1,14,3,7,7,10,6,5,2,5,2,17,1,16,5,19,3,18,18,8,6,14,6,14,3,23,6,26,24,23,24,23,2,21,1,16,17,12,10,18,5,14,24,13,4,5,14,14,5,12,24,7,2,4,9,12,9,3,5,4,12,24,16,8,6,16,22,16,3,25,5,6,18,4,8,4,23,19,14,26,4,23,11,10,15,4,22,4,18,4
31,13,17,8,15,10,8,6,10,14,10,9,3,15,17,3,9,20,12,14,9,8,14,15,10,9,12,16,12,12,18,0,26,14,16,10,1,16,12,10,1,1,10,10,11,1,2,15,11,12,22,19,6,10,14,12,17,10,14,14,10,14,12,14,17,15,16,2,18,19,12,14,16,22,1,24,13,7,12,16,15,6,16,8,10,6,7,8,15,8,18,10,10,11,8,15,21,5,8,11,22,12,15,5,22,8,7,11,15,13,10,8,9,14,22,16,5,7,12,10,13,8,13,20,20,8,16,20,7,21,10,14,6,3,7,11,14,6,6,8,14,21,18,21,6,20
32,12,7,18,10,16,16,30,17,12,24,16,28,11,8,24,16,5,22,11,16,16,10,11,14,16,12,9,36,13,8,26,0,10,9,16,26,9,38,34,24,24,15,16,15,26,25,10,19,14,4,22,25,16,10,13,8,19,11,11,14,14,14,12,8,10,10,23,8,23,13,23,9,19,24,3,13,21,12,19,11,30,9,32,33,30,30,31,10,26,8,23,23,20,17,22,4,20,33,19,4,12,21,22,4,18,32,15,9,12,16,16,17,10,3,9,20,31,22,15,12,23,29,22,5,32,9,4,26,4,15,11,32,26,20,33,11,30,20,18,21,4,25,4,24,4
33,7,4,8,1,6,11,21,14,2,13,6,16,1,4,13,6,6,15,1,5,6,4,1,4,12,3,2,27,7,4,14,10,0,2,5,14,2,27,24,14,15,5,5,4,15,13,1,9,4,7,15,14,10,1,6,4,15,1,6,4,10,4,2,3,5,2,14,4,15,4,18,2,18,14,11,4,11,4,14,1,19,5,22,22,20,21,20,2,17,4,14,14,9,9,19,8,11,22,10,7,2,11,10,8,8,20,4,2,1,5,12,8,1,8,3,10,21,16,9,4,13,17,15,6,22,5,7,16,7,5,4,20,16,11,25,2,20,9,7,11,6,22,7,14,6
34,8,2,9,2,7,10,22,14,3,14,8,20,2,2,14,8,5,15,2,7,8,4,2,6,11,4,1,29,7,2,16,9,2,0,7,17,1,27,26,16,17,7,7,6,16,15,2,11,5,5,16,16,9,2,7,2,14,2,7,6,11,5,3,2,6,1,16,2,15,4,17,3,18,16,10,4,12,4,14,2,22,6,23,24,21,22,22,2,18,2,15,16,11,8,18,6,13,24,11,5,4,13,12,6,10,22,6,1,3,7,11,8,2,6,4,12,21,16,8,4,15,19,16,4,23,6,7,17,5,6,4,23,19,13,27,2,22,10,9,13,5,20,5,15,5
35,5,8,3,6,7,14,16,17,4,16,7,13,6,9,10,1,12,18,5,7,7,6,6,7,14,4,7,21,4,9,10,16,5,7,0,9,8,20,19,10,10,6,7,4,10,8,6,4,6,12,13,9,12,6,4,8,18,6,5,7,7,6,5,8,6,7,10,8,12,6,21,7,14,10,15,7,6,6,11,6,14,7,17,16,15,16,14,6,14,9,16,16,4,12,21,12,6,16,4,12,4,8,6,12,3,16,4,7,5,1,15,12,6,14,7,5,14,19,12,7,8,13,12,12,16,7,12,10,12,2,8,15,12,6,20,5,15,6,2,8,12,24,12,9,12
36,14,18,8,14,9,9,6,10,14,10,8,3,14,17,3,10,20,12,14,10,8,16,15,11,9,13,16,12,11,18,1,26,14,17,9,0,17,13,10,1,1,10,10,10,1,2,14,11,12,21,20,6,10,14,12,18,10,15,14,10,14,11,13,17,15,15,2,18,19,12,15,16,22,1,24,12,8,12,18,15,6,16,8,10,6,7,8,15,8,17,10,10,10,8,15,21,5,7,10,20,13,14,5,22,8,7,11,16,14,10,8,8,14,22,15,5,7,12,10,13,8,12,19,21,8,16,20,7,20,10,16,6,3,6,11,14,7,6,8,15,21,18,20,6,21
37,9,2,10,2,8,10,22,13,4,16,8,20,2,2,14,7,4,14,3,7,9,5,2,6,10,4,1,28,8,1,16,9,2,1,8,17,0,27,27,16,16,7,7,7,17,15,2,11,5,6,17,16,8,2,7,2,12,2,8,7,11,5,4,3,6,1,16,2,16,4,16,4,19,16,8,4,13,4,15,2,22,6,25,22,21,22,21,2,19,1,15,16,12,8,17,6,13,24,12,5,4,13,12,6,10,23,6,1,4,8,11,8,2,6,4,12,22,15,8,4,16,21,16,4,23,6,7,17,5,7,3,23,19,13,27,3,22,11,9,13,4,20,5,17,4
38,25,31,19,25,22,20,6,20,26,13,20,9,25,29,14,21,32,14,25,22,19,26,26,23,21,24,28,2,24,30,12,38,27,27,20,13,27,0,6,13,12,22,22,23,12,14,26,19,25,34,16,12,22,27,25,30,19,26,26,23,24,24,24,29,27,28,13,28,16,24,22,28,19,13,38,23,16,24,19,26,7,28,4,8,8,6,10,27,11,30,13,13,18,20,24,33,16,5,17,32,26,16,16,34,20,6,22,27,26,21,19,20,27,33,29,17,6,15,21,24,13,10,16,34,5,28,33,12,34,21,28,7,10,16,2,27,6,18,19,15,32,22,32,12,32
39,24,28,17,24,19,19,4,17,23,11,19,7,26,29,12,20,32,12,25,19,19,24,25,20,18,23,25,7,21,28,10,34,24,26,19,10,27,6,0,11,10,20,20,20,10,12,25,15,21,30,22,11,20,24,23,26,16,25,24,21,22,22,23,26,24,24,11,28,22,23,18,26,24,10,36,23,13,23,20,26,5,26,4,14,5,4,5,25,8,28,12,11,16,19,22,32,14,3,15,30,22,18,15,33,17,9,20,26,24,19,18,18,26,30,26,16,9,13,20,22,12,15,22,32,3,26,31,10,32,21,24,6,8,14,7,23,4,16,18,18,32,18,31,11,30
40,13,17,8,14,9,9,6,10,14,10,9,4,14,17,3,9,20,12,14,10,8,15,15,10,9,12,16,12,12,18,1,24,14,16,10,1,16,13,11,0,1,10,10,10,1,2,14,10,12,20,19,7,10,15,12,18,10,14,14,10,14,12,14,17,16,15,3,18,19,12,14,15,22,1,26,12,7,12,17,14,6,16,8,11,6,6,8,15,8,17,10,10,11,8,16,22,5,7,11,21,14,15,5,22,8,7,12,16,14,9,8,9,15,21,16,5,7,13,10,12,8,12,20,20,8,15,21,7,21,10,16,6,3,6,10,14,6,6,8,14,21,19,21,6,20
41,14,17,7,15,9,9,6,10,14,10,8,4,15,18,3,9,21,12,15,10,8,14,14,10,9,12,16,12,12,18,1,24,15,17,10,1,16,12,10,1,0,11,10,10,1,2,15,10,12,22,19,6,9,15,12,17,10,14,14,10,14,12,13,17,16,16,2,18,18,13,15,16,22,1,26,12,7,12,18,15,6,16,9,11,6,7,8,15,8,18,10,10,10,8,14,21,5,8,11,21,12,15,5,21,8,7,12,16,13,9,8,9,15,23,16,5,7,12,10,12,8,13,18,21,8,15,21,7,21,10,15,6,3,7,11,14,7,6,8,15,21,19,21,6,21
42,10,8,7,5,2,8,16,11,5,10,2,13,5,8,8,6,11,13,4,1,2,7,5,1,8,6,6,22,10,8,10,15,5,7,6,10,7,22,20,10,11,0,1,4,11,9,5,10,2,12,18,10,6,5,9,8,11,5,9,1,13,2,4,7,8,6,10,8,18,3,15,6,21,10,16,3,7,3,16,5,15,8,18,17,15,17,14,6,12,8,10,11,10,6,16,12,6,18,11,10,4,15,6,12,7,17,3,6,4,6,8,6,5,12,6,6,16,13,6,2,10,14,19,11,18,8,12,11,11,5,5,16,13,6,21,4,17,5,8,14,11,19,11,10,11
43,12,9,8,5,1,7,15,10,6,9,1,12,5,9,8,7,11,12,4,1,2,8,6,1,7,7,7,22,11,8,10,16,5,7,7,10,7,22,20,10,10,1,0,4,10,8,6,11,2,12,20,9,6,5,10,8,10,6,10,1,14,2,4,8,9,6,9,8,19,3,15,7,21,10,15,3,8,3,18,5,14,9,18,17,14,16,14,7,12,8,10,10,11,4,14,13,6,18,11,11,5,15,6,13,8,16,4,6,4,7,8,5,6,12,7,5,16,12,5,3,9,13,19,11,17,9,12,10,11,6,6,15,12,7,20,5,16,4,9,15,12,17,12,9,11
44,8,8,4,5,4,10,16,14,4,13,4,13,4,8,8,3,10,15,4,4,4,5,4,4,11,3,6,23,7,8,11,15,4,6,4,10,7,23,20,10,10,4,4,0,10,9,5,7,4,10,16,10,9,5,6,8,13,5,6,3,10,4,3,7,6,6,10,7,15,4,17,6,18,10,16,4,7,4,14,4,15,6,18,17,16,16,15,6,12,7,13,14,7,8,18,11,6,18,8,11,3,12,6,12,4,17,1,6,4,4,11,9,5,12,6,6,17,15,8,4,10,14,16,11,17,6,10,12,11,2,5,15,13,6,21,4,17,5,5,11,10,22,10,10,11
45,14,18,8,15,9,9,6,10,13,9,9,4,14,17,3,9,20,12,14,9,9,15,14,11,8,12,16,12,12,17,1,26,15,16,10,1,17,12,10,1,1,11,10,10,0,2,15,11,12,21,19,7,10,14,12,17,10,14,14,10,14,12,14,16,16,15,2,18,19,13,14,16,22,1,26,13,7,12,17,15,6,15,9,11,5,7,8,15,8,18,10,10,10,8,15,22,5,7,10,20,13,15,5,23,8,7,11,16,14,10,8,8,14,21,16,5,7,13,10,13,8,13,20,21,8,16,22,7,21,10,15,6,3,6,10,15,6,6,8,14,21,18,21,6,21
