Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
14,10,8,3,3,20,4,12,14,9,10,9,3,16,0,12,7,10,12,16,10,14,16,8,6,3,5,12,11,10,8,6,7,12,30,7,14,15,10,8,2,8,12,7,7,11,14,20,17,12,8,8,11,8,8,9,18,16,9,6,14,11,4,6,12,10,8,9,17,8,13,7,9,18,11,17,8,8,7,9,11,21,8,4,7,17,9,7,8,8,10,1,7,6,7,10,17,18,17,7,13,10,15,9,4,14,5,17,11,22,11,14,14,8,14,7,6,10,13,14,3,8,17,6,10,11,12,16,19,12,9,5,6,6,15,9,7,18,13,18,4,20,15,18,9,22,8,18,6,6,14,6,20,6,8,10,6,14,7,5,6,12,14,12,14,15,18,10,10,16
15,8,12,15,12,32,7,21,3,12,12,15,12,5,12,0,15,11,14,5,8,13,6,15,16,12,16,12,13,5,16,16,19,6,28,14,13,25,8,12,12,13,22,13,16,23,19,9,14,20,13,20,11,12,13,11,14,15,12,16,26,13,10,16,13,13,18,12,27,17,23,14,20,31,13,14,14,4,18,3,12,18,13,16,14,6,12,15,12,4,17,12,6,15,10,21,6,17,14,14,25,13,17,5,11,25,15,27,12,10,12,16,26,4,20,16,8,13,12,10,11,4,5,16,21,8,10,26,30,22,13,12,11,6,3,9,18,6,14,14,11,22,4,6,8,20,12,6,8,6,26,16,22,16,14,13,14,4,15,14,15,13,11,17,13,14,15,22,7,20
16,8,3,6,9,18,8,7,18,4,4,2,10,20,7,15,0,5,17,19,10,7,19,1,2,10,3,6,4,14,2,1,4,15,22,1,7,12,8,2,5,3,8,2,2,8,8,22,10,7,2,5,4,4,3,4,10,10,4,1,11,4,10,2,5,4,4,4,16,2,9,1,8,16,4,10,1,12,4,11,4,13,3,7,2,20,4,1,3,11,4,7,10,2,5,8,21,12,10,2,9,4,8,11,11,15,3,14,4,26,4,8,11,12,7,1,12,4,6,12,10,11,21,2,6,8,12,12,15,8,3,3,14,10,18,6,4,21,6,10,11,14,18,20,7,15,3,20,12,9,10,1,12,2,2,3,1,19,1,2,1,6,7,6,8,8,11,6,9,10
17,4,2,8,12,23,7,12,14,2,2,6,12,15,10,11,5,0,20,15,5,5,16,4,5,12,6,3,3,10,6,5,8,11,21,5,5,17,3,3,7,2,13,4,6,12,8,20,8,11,3,10,2,2,2,2,8,8,2,6,14,3,12,6,3,2,8,2,19,6,13,5,11,19,3,8,5,8,9,8,3,12,2,9,4,15,2,5,2,7,7,10,13,5,3,12,16,10,7,4,14,2,8,7,12,16,6,18,2,20,2,6,15,6,10,6,15,3,4,8,12,7,15,6,11,4,7,16,20,12,2,5,15,13,13,2,8,16,5,8,12,12,14,16,3,12,2,16,15,4,14,5,11,6,4,4,4,14,5,5,5,3,5,7,5,6,8,11,4,10
18,21,19,13,10,31,13,22,16,20,22,18,10,13,12,14,17,20,0,18,20,24,15,18,15,10,15,23,21,17,18,17,16,18,39,18,25,25,20,19,12,18,22,18,17,20,26,18,27,21,18,18,21,19,18,20,28,28,20,18,22,20,8,18,23,22,18,19,26,19,22,18,18,30,22,28,19,13,18,13,22,32,20,15,17,16,20,19,20,18,22,11,8,16,17,20,18,29,26,17,23,22,26,18,10,22,16,27,21,18,22,26,25,17,25,18,6,22,24,23,10,16,14,16,20,21,23,26,28,21,19,15,10,8,13,19,17,16,24,28,10,32,13,15,20,33,20,19,6,16,24,16,30,17,19,21,18,14,19,16,17,22,24,22,26,24,28,20,21,27
19,12,18,19,16,38,11,25,2,16,17,22,16,6,16,5,19,15,18,0,11,18,4,19,20,16,20,17,18,6,20,21,22,5,22,20,18,31,12,17,17,17,27,19,21,27,23,4,19,25,18,25,17,16,17,16,18,20,16,20,28,17,14,21,18,17,23,17,34,20,28,20,26,35,18,17,18,9,24,8,17,18,18,21,18,3,16,19,16,10,22,17,10,21,15,28,2,19,19,19,30,17,22,8,16,31,20,32,17,5,16,20,30,8,26,20,13,18,16,8,16,8,5,21,26,13,8,31,33,27,16,17,15,10,5,14,24,3,20,18,16,25,6,4,12,20,18,1,13,11,31,20,26,21,18,20,20,4,20,19,20,18,16,21,19,18,19,26,12,24
20,2,7,9,13,28,7,16,9,6,7,10,13,10,10,8,10,5,20,11,0,8,10,9,10,13,10,7,8,5,11,10,14,6,21,9,8,20,2,7,8,7,17,8,11,16,12,15,9,16,8,14,6,6,7,6,8,10,6,10,19,8,12,10,8,7,12,6,22,10,18,9,16,24,7,8,9,8,14,8,7,11,7,11,8,11,6,10,7,3,11,10,12,10,5,17,12,10,10,8,19,7,12,3,13,19,10,23,7,16,7,10,20,4,14,10,14,8,6,4,12,6,11,10,15,2,3,21,24,17,7,7,17,12,9,4,12,11,9,8,14,16,10,11,2,13,7,11,16,4,20,10,16,10,9,8,8,9,9,9,10,8,6,12,8,9,9,16,1,14
21,7,6,12,16,19,11,8,17,5,3,6,16,18,14,13,7,5,24,18,8,0,18,6,9,17,9,2,3,13,6,8,11,13,16,7,1,14,6,6,12,6,10,7,7,13,5,22,3,8,6,7,3,5,7,5,4,3,5,8,18,4,17,8,2,3,6,5,23,6,11,7,15,16,4,4,6,12,10,11,3,6,6,14,8,18,5,6,6,9,4,14,17,8,7,13,20,6,3,8,11,3,4,10,16,21,10,15,4,23,4,3,12,10,8,8,19,4,2,10,16,10,19,8,8,6,10,14,17,10,5,10,19,16,16,5,10,19,2,4,17,8,16,19,6,8,5,19,19,7,12,8,8,8,6,4,8,16,7,9,8,2,2,4,1,1,4,12,7,7
22,13,18,20,16,37,12,27,3,16,16,22,17,2,16,6,19,16,15,4,10,18,0,19,19,17,20,18,18,6,21,20,22,5,26,20,19,30,12,18,16,16,29,18,20,28,22,4,19,25,17,26,16,17,18,16,18,19,16,20,31,18,15,21,18,17,22,16,33,22,30,20,26,34,18,18,19,8,23,8,17,18,17,21,19,1,17,21,17,9,22,16,11,19,15,27,5,19,20,19,29,17,22,8,15,31,20,34,18,6,18,20,29,9,25,21,12,18,17,10,17,9,1,21,26,12,9,30,33,27,17,18,16,10,3,15,24,2,19,18,16,26,2,1,13,20,17,4,11,11,30,20,26,20,20,19,18,2,19,20,21,18,16,22,18,19,20,26,12,24
23,8,2,6,10,18,8,7,16,4,4,2,11,18,8,15,1,4,18,19,9,6,19,0,3,11,4,5,4,14,2,2,5,14,22,1,6,13,7,2,6,2,9,1,2,8,6,24,9,7,2,6,4,3,2,4,10,9,4,2,13,3,12,2,4,3,4,4,18,2,10,1,9,16,3,10,1,11,5,12,3,13,3,8,2,20,4,1,2,10,4,8,10,2,4,8,20,11,9,1,10,3,7,12,11,15,4,14,3,24,3,6,10,10,6,2,13,3,6,12,10,11,20,2,6,8,12,12,15,8,3,4,14,11,18,6,4,19,6,10,12,13,17,20,7,14,2,20,13,9,11,2,12,2,1,2,2,17,1,4,2,5,6,5,6,7,10,7,8,9
24,8,3,4,8,18,8,6,17,4,6,4,8,19,6,16,2,5,15,20,10,9,19,3,0,8,1,7,6,14,3,2,4,15,25,2,9,12,7,4,4,3,9,2,2,8,9,22,12,7,3,5,6,4,3,4,12,11,4,2,10,6,8,2,6,6,3,4,15,3,9,2,6,16,6,12,3,11,4,12,6,15,3,5,2,21,4,2,3,11,6,6,10,1,5,7,22,14,12,2,10,6,9,12,9,13,1,14,6,25,6,9,11,11,8,2,11,6,8,12,8,11,21,1,6,8,12,13,15,8,4,3,11,10,18,6,4,21,8,12,9,15,18,21,7,17,4,21,10,9,10,1,14,1,3,5,2,19,2,1,1,7,8,8,9,10,12,6,8,11
25,14,11,5,1,22,6,14,14,12,14,12,1,16,3,12,10,12,10,16,13,17,17,11,8,0,8,15,14,11,11,10,8,12,31,10,16,16,12,11,5,11,13,10,10,11,17,19,19,14,10,10,14,12,10,11,19,19,11,9,14,13,2,9,15,14,10,12,17,12,13,10,10,19,13,20,10,8,8,8,14,23,11,5,10,16,12,10,11,10,14,3,6,8,10,11,17,22,20,10,14,13,17,10,1,14,8,18,13,22,14,16,14,9,16,10,4,14,15,16,1,7,16,9,12,13,15,17,19,12,12,7,4,6,14,12,8,16,16,20,1,24,14,17,12,24,12,16,5,9,16,9,22,9,12,13,9,14,10,8,10,15,17,15,16,18,20,10,12,19
26,9,4,3,7,16,9,7,19,5,6,4,8,20,5,16,3,6,15,20,10,9,20,4,1,8,0,8,7,15,4,2,3,16,24,3,10,12,8,4,4,4,8,3,2,7,10,24,13,7,4,4,7,4,4,5,12,12,5,3,10,6,8,2,8,7,4,5,15,4,8,3,5,14,7,12,4,13,3,12,6,16,4,4,2,21,4,3,4,12,7,5,10,2,6,7,21,15,12,2,9,7,10,12,8,12,1,13,6,25,6,10,10,12,9,2,10,6,9,13,7,12,21,2,6,9,13,12,14,8,5,4,10,10,19,7,4,21,8,13,8,16,18,21,8,18,4,21,10,10,10,2,15,2,4,6,2,20,3,2,2,8,10,8,10,11,13,6,9,12
27,6,4,10,15,20,9,9,16,4,2,4,15,18,12,12,6,3,23,17,7,2,18,5,7,15,8,0,1,12,4,6,9,12,18,5,2,14,5,4,10,4,11,5,6,12,6,20,5,9,5,7,2,4,5,4,5,5,4,6,17,2,16,6,1,2,5,3,21,4,12,5,13,18,2,5,5,10,9,10,2,8,4,12,6,18,4,5,4,8,4,12,16,6,6,12,18,8,5,6,12,2,5,10,15,19,8,16,2,22,2,4,12,9,8,6,17,2,2,10,14,9,18,6,8,6,10,14,17,10,3,8,18,14,16,4,7,18,2,5,15,9,15,18,5,10,4,19,18,6,13,6,9,6,4,2,6,16,5,7,6,1,2,5,2,3,6,10,6,8
28,6,3,10,14,20,8,8,16,2,1,3,13,18,11,13,4,3,21,18,8,3,18,4,6,14,7,1,0,12,4,5,8,13,19,4,3,14,6,3,9,4,10,4,4,10,5,22,6,9,4,7,2,3,4,2,6,6,2,4,16,1,15,5,1,1,5,2,21,3,11,4,11,16,1,6,4,10,8,10,1,10,3,11,5,18,2,4,3,10,4,11,14,6,4,11,18,8,6,4,11,1,5,10,15,19,7,15,1,24,1,4,12,9,8,5,17,1,2,10,14,9,18,5,8,6,10,15,17,10,2,7,17,14,16,4,6,19,2,6,14,10,16,19,6,12,3,19,16,7,12,5,8,6,3,2,5,16,4,6,5,2,3,4,4,4,7,9,7,7
29,6,11,14,11,31,7,20,4,11,11,15,10,6,10,5,14,10,17,6,5,13,6,14,14,11,15,12,12,0,15,14,18,2,24,14,12,24,7,12,11,12,22,14,15,22,18,10,14,20,12,19,10,11,12,11,12,14,11,14,23,13,10,16,13,12,17,11,26,15,22,14,20,29,12,12,14,5,17,5,12,13,12,15,13,6,11,14,11,4,16,11,10,14,9,20,7,13,14,13,24,12,16,3,11,24,15,26,12,12,12,16,25,3,19,14,13,12,11,6,10,3,6,15,20,7,6,26,30,22,12,12,14,10,4,9,18,7,13,13,11,20,5,7,7,15,11,7,12,6,24,14,20,15,13,13,14,4,14,13,14,13,11,16,12,14,14,21,6,20
30,9,4,7,10,17,10,6,20,5,4,1,11,20,8,16,2,6,18,20,11,6,21,2,3,11,4,4,4,15,0,2,5,16,21,2,6,11,8,4,6,4,8,3,2,8,6,24,8,5,4,4,5,5,4,5,8,8,5,2,12,3,12,2,4,4,2,5,19,1,8,2,9,14,4,9,2,13,5,13,4,12,4,8,3,20,5,2,4,12,3,8,11,3,6,8,22,10,8,3,8,4,6,14,11,16,4,13,4,25,4,6,10,12,6,2,14,4,5,13,10,12,22,3,5,9,13,11,14,7,4,4,15,11,20,7,4,22,5,9,12,12,19,22,8,13,4,22,14,10,10,3,12,3,2,2,2,20,2,4,2,4,6,5,6,6,10,6,10,8
31,8,4,5,9,17,8,6,18,4,5,2,9,20,6,16,1,5,17,21,10,8,20,2,2,10,2,6,5,14,2,0,4,16,22,1,8,12,8,3,5,3,8,2,1,6,8,25,10,6,3,4,5,4,3,4,11,11,4,1,12,4,10,1,6,5,3,4,17,2,8,1,7,15,4,11,2,12,4,13,5,14,4,6,2,21,4,1,3,11,5,6,10,1,6,7,22,12,10,2,10,4,8,13,10,14,2,13,4,26,4,8,10,12,8,1,11,4,7,13,9,12,20,1,6,8,12,12,14,8,4,3,12,10,18,6,4,22,7,11,10,14,19,21,8,15,3,20,12,10,10,1,13,1,2,4,1,18,1,2,1,6,8,6,8,8,12,6,9,10
32,12,6,4,8,15,12,8,20,7,8,5,8,23,7,19,4,8,16,22,14,11,22,5,4,8,3,9,8,18,5,4,0,19,26,4,11,8,11,6,7,6,7,5,4,4,11,26,14,8,6,4,8,7,6,8,14,14,8,4,8,8,9,4,9,8,5,7,14,6,6,4,4,12,8,14,5,14,1,16,8,16,6,3,5,24,7,4,6,14,8,7,14,4,8,4,24,16,13,5,7,8,12,15,8,11,3,10,7,28,8,11,8,15,10,4,11,8,10,16,8,16,24,3,6,11,15,9,12,7,6,6,10,14,20,10,2,23,10,13,8,18,22,23,11,18,6,25,12,13,10,4,17,3,6,7,4,22,4,4,4,10,11,10,11,11,14,3,12,13
33,8,13,15,12,32,7,21,3,12,13,16,11,6,12,6,15,11,18,5,6,13,5,14,15,12,16,12,13,2,16,16,19,0,22,14,14,26,8,13,12,12,23,13,17,21,18,9,14,21,13,20,11,11,12,11,14,15,12,16,24,13,11,16,14,13,18,12,27,16,23,16,20,28,13,13,14,6,19,6,13,15,12,16,14,6,12,15,13,5,16,12,12,15,10,22,6,14,15,14,24,12,18,4,12,26,15,28,13,10,13,16,25,4,20,16,13,12,12,5,11,4,6,16,20,8,4,26,30,22,12,12,15,11,6,10,18,6,15,14,12,22,6,6,8,15,12,6,14,6,24,16,20,15,15,14,15,5,15,14,16,12,12,16,14,14,15,21,7,20
34,19,21,27,33,31,26,19,24,21,18,22,31,26,30,28,22,21,39,22,21,16,26,22,25,31,24,18,19,24,21,22,26,22,0,23,16,30,20,22,28,22,19,22,22,28,15,23,13,18,22,22,20,21,23,22,13,13,22,23,34,20,33,24,17,19,22,22,39,22,21,24,31,25,19,13,22,27,28,29,19,10,22,30,24,24,22,23,23,24,18,30,31,24,23,30,22,12,14,24,19,20,15,23,32,38,26,26,18,23,18,16,19,24,16,24,33,18,18,17,33,25,27,23,20,19,17,30,20,21,21,25,35,32,26,21,25,24,17,13,32,10,27,26,21,8,21,22,34,23,16,25,11,23,21,20,24,26,22,24,24,17,16,17,16,15,12,27,20,13
35,8,3,5,9,17,8,7,17,4,4,2,10,19,7,14,1,5,18,20,9,7,20,1,2,10,3,5,4,14,2,1,4,14,23,0,8,12,7,2,5,3,9,2,2,8,8,23,10,6,2,5,5,3,3,4,10,10,4,2,12,4,11,2,5,4,4,4,18,2,9,1,8,16,4,10,1,12,4,12,4,13,3,7,1,20,4,1,3,10,4,7,10,2,5,7,22,12,10,1,10,4,8,12,10,14,3,14,4,23,4,7,10,10,8,1,12,4,7,12,9,11,19,2,7,8,12,13,16,8,3,3,13,10,18,6,4,20,7,10,10,14,18,19,7,15,2,20,12,8,11,1,13,2,2,3,1,18,1,2,1,6,7,6,7,8,12,6,8,10
36,6,6,13,16,20,11,9,17,6,4,6,17,18,14,13,7,5,25,18,8,1,19,6,9,16,10,2,3,12,6,8,11,14,16,8,0,14,6,6,12,6,10,7,7,14,5,22,3,8,6,7,3,5,7,6,3,3,6,8,19,4,18,8,2,4,6,6,24,6,10,7,14,16,4,3,7,12,11,12,4,6,6,14,8,18,5,7,6,9,4,15,17,9,7,14,20,5,3,8,11,4,4,10,18,21,10,15,4,24,4,3,12,10,8,8,19,4,2,11,16,10,19,9,8,6,10,15,16,10,6,10,20,17,17,5,10,19,2,3,17,8,17,19,6,8,6,19,19,8,12,8,8,8,6,4,8,17,7,10,8,2,2,4,1,2,4,13,7,7
37,20,15,13,15,6,20,11,29,15,14,11,16,31,15,25,12,17,25,31,20,14,30,13,12,16,12,14,14,24,11,12,8,26,30,12,14,0,18,14,15,14,10,13,10,5,13,36,16,10,14,7,16,15,14,16,16,16,15,12,5,14,17,11,14,14,9,16,11,10,10,12,6,4,14,17,12,24,8,24,14,20,14,10,13,33,16,11,15,23,10,16,22,12,17,5,32,19,16,12,10,15,14,23,16,8,11,4,14,36,15,14,11,23,13,12,20,14,15,24,16,22,33,12,9,19,23,1,11,9,15,15,16,21,30,17,8,30,13,17,16,21,30,32,19,22,14,32,20,21,14,11,20,11,12,13,13,30,12,12,12,14,15,13,13,14,17,6,20,16
38,1,5,8,12,25,7,13,11,4,5,9,13,12,10,8,8,3,20,12,2,6,12,7,7,12,8,5,6,7,8,8,11,8,20,7,6,18,0,5,8,5,16,6,8,14,10,16,7,13,6,12,4,4,5,4,8,7,4,8,18,5,13,8,6,5,10,4,19,9,16,8,13,22,5,8,7,8,11,8,5,11,5,10,6,13,4,8,5,4,9,10,12,8,3,14,14,10,7,6,18,5,10,5,12,18,8,20,5,17,5,9,17,4,12,8,15,6,4,5,12,6,12,8,13,1,5,20,23,15,5,6,16,12,11,2,11,14,7,8,12,14,12,14,1,13,5,13,14,3,18,8,14,8,7,6,7,11,7,7,7,6,5,9,6,7,9,14,2,13
39,6,1,7,10,20,6,9,16,2,3,4,11,17,8,12,2,3,19,17,7,6,18,2,4,11,4,4,3,12,4,3,6,13,22,2,6,14,5,0,6,1,11,2,4,9,6,22,9,8,1,7,3,2,1,2,9,8,2,4,13,2,12,4,4,3,6,2,18,4,11,3,9,17,3,9,2,9,6,10,3,12,1,8,2,18,2,2,1,9,4,8,11,3,3,10,19,11,9,2,12,3,6,9,12,16,4,16,3,22,3,6,12,9,8,3,14,2,5,10,10,10,18,3,8,6,9,14,17,11,1,4,14,12,16,4,6,18,5,8,12,12,15,18,5,14,1,18,13,7,12,3,12,3,2,2,2,16,3,4,2,4,6,5,6,6,10,8,7,8
