Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
35,21,26,26,1,35,37,39,35,35,20,38,35,22,14,36,34,21,36,37,24,20,27,40,20,27,36,37,36,23,25,35,14,25,26,0,37,47,41,37,32,15,35,31,35,44
36,16,12,11,37,14,1,23,4,39,16,2,13,14,23,2,20,17,2,38,14,33,12,19,18,42,3,21,2,14,12,15,23,41,12,37,0,8,22,1,4,34,2,7,2,6
37,23,20,19,44,20,9,18,12,33,25,8,9,21,31,8,26,25,9,34,21,41,19,13,25,45,10,25,9,21,19,19,32,43,21,47,8,0,16,9,12,42,10,15,11,5
38,18,18,16,38,34,23,2,20,17,19,21,10,16,27,20,42,20,23,17,16,36,16,4,20,41,21,44,20,16,16,36,24,38,15,41,22,16,0,22,18,36,20,28,23,20
39,15,11,11,36,14,2,24,4,39,17,2,13,14,22,2,20,17,3,36,13,32,11,18,17,40,2,22,2,12,11,14,23,40,12,37,1,9,22,0,4,37,2,7,3,7
40,13,8,8,33,18,5,20,3,34,13,4,9,11,21,4,24,14,6,36,10,32,8,15,14,36,2,23,3,10,9,18,19,37,9,32,4,12,18,4,0,33,3,10,6,9
41,20,24,25,15,42,35,41,32,32,18,35,36,23,13,36,50,19,35,36,22,4,24,41,18,11,33,49,36,22,24,44,15,12,25,15,34,42,36,37,33,0,35,36,34,42
42,14,10,10,35,16,2,23,2,38,15,2,12,12,22,2,22,16,4,36,12,32,10,16,16,39,1,23,2,12,10,15,21,39,11,35,2,10,20,2,3,35,0,8,4,8
43,19,12,12,29,8,6,30,8,44,20,8,18,16,29,9,14,16,7,45,15,39,12,25,20,49,9,14,8,14,12,8,20,46,13,31,7,15,28,7,10,36,8,0,4,12
44,14,9,10,34,12,2,26,4,40,16,4,16,12,24,4,18,15,3,39,11,34,9,20,15,44,4,18,4,11,9,12,20,45,10,35,2,11,23,3,6,34,4,4,0,8
45,22,17,17,44,15,6,22,9,38,22,6,12,20,28,6,22,23,6,36,19,38,18,18,24,46,8,22,7,19,18,16,29,40,18,44,6,5,20,7,9,42,8,12,8,0
