Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
16,18,11,16,14,14,18,16,15,25,17,17,11,21,15,11,0,18,8,22,11,11,20,15,22,15,18,17,14,18,17,12,15,9,10,17,16,26,18,10,6
17,23,21,8,4,14,7,10,4,30,7,13,12,7,16,8,18,0,15,8,13,8,4,11,11,13,1,12,10,6,22,12,12,22,15,11,10,8,22,26,14
18,26,19,13,12,16,14,13,12,34,14,11,17,19,18,11,8,15,0,19,4,7,18,11,19,16,15,10,10,16,24,15,7,17,18,9,13,22,25,18,14
19,30,24,6,7,22,5,6,7,36,5,8,20,1,23,16,22,8,19,0,17,12,4,8,4,20,7,10,8,4,29,19,14,25,24,10,6,10,30,30,18
20,30,21,12,10,21,11,11,10,36,12,9,20,17,22,14,11,13,4,17,0,6,16,9,17,20,13,6,9,14,28,18,4,20,23,6,10,21,28,22,18
21,25,18,7,5,16,6,8,5,32,6,10,14,11,18,10,11,8,7,12,6,0,11,9,12,16,8,10,8,8,23,14,8,16,17,10,8,16,23,18,14
22,28,24,5,6,18,4,6,6,32,5,8,17,4,19,11,20,4,18,4,16,11,0,7,7,17,4,10,8,3,24,16,14,25,19,10,6,7,25,28,15
23,35,26,4,9,25,4,2,8,40,4,2,24,8,26,19,15,11,11,8,9,9,7,0,8,24,10,3,2,5,33,23,8,25,26,3,2,13,32,25,22
24,35,28,6,9,24,6,7,8,41,6,9,25,4,26,18,22,11,19,4,17,12,7,8,0,25,11,11,8,5,32,22,15,24,26,11,7,14,32,30,23
25,14,15,20,16,1,20,22,17,26,21,26,3,22,2,6,15,13,16,20,20,16,17,24,25,0,15,26,23,20,8,2,24,17,9,24,22,13,10,22,8
26,24,21,7,4,14,7,9,4,32,7,12,13,7,16,8,18,1,15,7,13,8,4,10,11,15,0,12,9,6,23,12,12,22,16,12,9,8,22,26,13
27,34,29,6,11,26,6,5,10,44,6,3,25,10,28,20,17,12,10,10,6,10,10,3,11,26,12,0,3,8,34,26,5,26,28,1,5,14,35,27,23
28,34,26,3,8,23,4,2,7,39,3,3,23,8,26,17,14,10,10,8,9,8,8,2,8,23,9,3,0,5,32,22,7,24,26,3,2,13,32,24,20
29,30,22,2,5,21,2,4,4,36,2,6,20,4,22,14,18,6,16,4,14,8,3,5,5,20,6,8,5,0,29,18,12,22,21,8,3,9,29,25,18
30,7,8,28,24,8,30,30,24,19,30,34,9,28,10,14,17,22,24,29,28,23,24,33,32,8,23,34,32,29,0,10,33,10,7,33,31,21,2,14,12
31,14,15,19,14,2,19,22,15,25,18,25,2,19,4,5,12,12,15,19,18,14,16,23,22,2,12,26,22,18,10,0,22,16,8,25,22,14,11,20,8
32,34,25,10,8,24,10,10,8,40,10,8,22,16,26,18,15,12,7,14,4,8,14,8,15,24,12,5,7,12,33,22,0,25,26,5,10,20,32,25,22
33,9,2,22,19,18,22,24,19,15,21,27,15,25,19,14,9,22,17,25,20,16,25,25,24,17,22,26,24,22,10,16,25,0,9,26,24,31,8,4,10
34,9,8,22,18,8,24,24,19,17,23,28,6,23,11,8,10,15,18,24,23,17,19,26,26,9,16,28,26,21,7,8,26,9,0,26,26,21,7,12,5
35,37,27,6,10,26,6,5,9,43,6,3,25,10,26,18,17,11,9,10,6,10,10,3,11,24,12,1,3,8,33,25,5,26,26,0,5,15,35,27,22
36,34,26,3,8,24,3,1,7,40,3,4,22,6,24,17,16,10,13,6,10,8,6,2,7,22,9,5,2,3,31,22,10,24,26,5,0,12,32,24,20
37,27,28,10,12,13,10,12,12,36,10,14,15,10,13,16,26,8,22,10,21,16,7,13,14,13,8,14,13,9,21,14,20,31,21,15,12,0,21,34,20
38,5,7,28,24,10,30,32,24,16,28,35,9,29,11,15,18,22,25,30,28,23,25,32,32,10,22,35,32,29,2,11,32,8,7,35,32,21,0,12,11
39,9,5,23,22,22,24,24,22,16,24,27,19,27,22,16,10,26,18,30,22,18,28,25,30,22,26,27,24,25,14,20,25,4,12,27,24,34,12,0,13
40,13,8,17,14,9,18,21,14,20,19,24,6,18,10,5,6,14,14,18,18,14,15,22,23,8,13,23,20,18,12,8,22,10,5,22,20,20,11,13,0
